price_per_sqft,property_type,property_year,home_style,description,beds,bath,sqft,lotsize,property_id
$159,Condo/Townhome/Row Home/Co-Op,2004,2004,"Move right in. This stunning 2 bedroom condo is waiting... Features include maple hardwoods
            throughout the main level, open concept great room with gas fireplace, 9 foot ceilings, spacious dining area
            and great kitchen with Sub Zero fridge and maple cabinetry, new stove, 1/2 bath and extra storage. Upstairs
            has 2 en suites with walk in closet. Master features vaulted ceilings and is very spacious. Laundry is
            upstairs and there is a loft area that is perfect for working from home. 2 underground and heated parking
            spots.
        ",2,2.5,"1,430",,51
$230,Condo/Townhome/Row Home/Co-Op,2020,2020,"New condo project in Middleton School District. Spacious floor plans, walk in closets, wood
            flooring, fireplaces, stainless appliances, Hand Made Amish Cabinets, Quartz and or Granite Sills and
            Counter tops, 2+ car attached garage, GREAT LOCATION. Floor plan style is town-home with vertically stacked
            units. Condos are Warrantable and Conventional Financing is possible. Listing Broker has interest in
            development. Seller will require Addendum BCTH with all offers. Builder Warranty Included.
        ",2,2.5,"1,545",,52
$127,Single Family Home,1920,1920,"Calling all investors! Three separate units possible! Completely renovated North Side
            charmer! This large home boasts 4 full bedrooms, 3 full baths, a completely finished basement including full
            kitchen and laundry as well as large living spaces, a large porch and mature trees all convenient to the
            ever-expanding north side amenities! Bus routes, bike paths and Woodman's are all convenient! BOTH kitchens
            feature high end cabinetry, granite countertops, brand new stainless steel appliances and tons of charm! All
            new windows, furnace, AC and electrical upgrades throughout! Garage has been converted to studio. Seller
            leaving materials and appliances for new buyer to easily create studio apartment.
        ",4,3,"2,475",0.24,53
$171,Condo/Townhome/Row Home/Co-Op,2008,2008,"This is it, you are HOME. This incredible condo is ready for a new owner who enjoys west
            side living at it's best. Spacious rooms, large windows, vaulted ceilings, & high end finishes make this
            condo a wonderful choice. The well-planned out kitchen features cherry cabinets, granite counters, &
            stainless appliances (fridge & dishwasher new this year) plus pantry & island. Granite in the baths,
            & a master bath that has been updated & upgraded to include a spacious jacuzzi soaking tub with dual
            shower heads & custom lighting. Main bedroom features large walk in closet. One of only two units in the
            building to be graced with TWO climate controlled indoor parking spaces. ONLY 7 min to EPIC! All wood
            flooring to be replaced Oct 22-29 by the association. Some photos have been virtually staged.
        ",2,2,"1,317",,54
$358,Single Family Home,1921,1921,"East Side Charm! Move in ready and won't last long! Trendy neighborhood location --sought
            after and rarely available near Lake Monona. Don't miss out on the chance to make your new home here! 4
            bedrooms, sun porch, amazing wood work, built-in shelves and hardwood floors throughout. All appliances
            included and great hand made cupboards in the kitchen. Home cared for by original owner up to this
            opportunity. Two car garage and nice big yard in back. Walking distance to Circle Park and close to bus
            line. Don't miss out on this east side charm--make your offer today!
        ",4,1,"1,114","8,712",55
$148,Single Family Home,2005,2005,"Elegant 4 BR built for entertaining! 3 full baths. Main level laundry. 2 car attached garage
            ready for cold winters. Open concept w lofty ceilings. Green space out back home to owls, otters, deer and
            red fox. Master is glamorous! Downstairs the party continues w gas FP, built in bar, microwave for popcorn
            and mini-frig, room to play games or rock out, guest suite, 3rd full bath and workout/storage space. Come
            see! Won't last! Basement has been updated w/ new carpet and new paint.
        ",4,3,"2,630","7,841",56
$137,Condo/Townhome/Row Home/Co-Op,2002,2002,"Why pay rent? Sweet 2 story end unit townhouse in the Poplar Creek area. Bring your
            imagination & get ready to make this space yours - large lvg rm, eat-in kitchen w/ your own private
            deck. Unbelievably large mstr bdrm with 2 closets, an 11x11 mstr bath that incl. separate shower, double
            sinks w/ lots of counter space & even the tub has a showerhead. Good size 2nd bdrm - perfect for guests,
            kids? One of only about 3 units w/ a FULL BASEMENT (9 ft ceilings!) - think of all that additional space you
            could finish down there! Just off the landing, there is a 5x5 area that can be used as a small study area or
            convert it to a closet - you have options! Walk/Bike to AmFam, UW Hospital. Shopping, groceries &
            restaurants SO close by, incl. Costco! Shelving stays.
        ",2,2.5,"1,600",,57
$193,Condo/Townhome/Row Home/Co-Op,2005,2005,"Wonderful opportunity to own a condo on Madison's West Side!! You will notice the peace and
            quiet right when you walk into this home. There is plenty of natural light and ample windows. Note that
            there are no neighbors above and only one shared wall. Kitchen is very functional with breakfast bar and
            newer appliances. Outdoor patio is a nice touch along with trees surrounding unit that give added privacy.
            Fitness center, underground heated parking space and storage unit included. In-unit laundry for convenience,
            generously sized bathroom and great location complete the home.
        ",1,1,789,,58
$248,Single Family Home,1920,1920,"Charming bungalow with loads of character in Maple Bluff near Fullers Woods. Fantastic
            location, close to Tenney Park, Burrows Park, and restaurants. Easy access to downtown. This 4 bedroom home
            features a wood burning fireplace, spacious walk-in closets, central A/C, 3-season porch, 1 car detached
            garage, and huge backyard with many possibilities. Recent updates including fully remodeled kitchen with
            custom Amish built cabinets, SS appliances, quartz countertops, newly refinished original maple hardwood
            floors throughout, updated bathrooms. Other upgrades include:interior paint, new light fixtures, new washer
            and dryer in 2018, some newer windows, and roof. Community offers MBCC privileges, lakefront beach/park
            & more. Don't miss out on getting into this neighborhood at a great price!
        ",4,1.5,"1,513",0.24,59
$189,Single Family Home,2002,2002,"Welcome home to this wonderful 3 BR/2.5 BA home in popular Door Creek, located just across
            the street from the park! This well-maintained home features a sunny main level with an easy flowing floor
            plan and beautifully updated light fixtures. Large kitchen offers an island, SS appliances, pantry &
            eat-in dining area with sliding patio doors leading to the newly-stained deck w/privacy screen. Upstairs
            you'll find 3 BR's, including an owner's suite with WIC and ensuite. Potential for future expansion in
            unfinished LL, including a 4th BR (egress window already in place)! Enjoy the outdoors in your fully-fenced
            backyard, complete with patio, deck & lush perennial landscaping.
        ",3,2.5,"1,432","6,098",60
$99,Condo/Townhome/Row Home/Co-Op,1980,1980,"WELCOME TO YOUR HAPPY PLACE! Exciting 3 Bedroom, 1.5 Bath end unit Townhouse condo that
            boasts a bright & cheery living rm w/wood floors, impressive fireplace and windows that have a modern
            feel, large kitchen with tons of cabinets and pantry with extra freezer. Owner's Suite with private balcony
            to enjoy your coffee on! Great upstairs loft area for extra space, office, toy room etc. Lower level rec
            room is the perfect man cave or exercise rm, great laundry space & tons of storage too. 2 Car attached
            garage. Fresh paint throughout, new carpet, new light fixtures & so much more! Close easy access to
            Downtown & UW!
        ",3,1.5,"1,708",,61
$367,Multi-Family Home,1964,1964,"Westside, two brick 8-units side-by-side. Solid construction, each unit has separate
            utilities with individual heating systems, water heaters, and electric meters. All 2 bedroom apartments with
            identical floor plans, 750 sq. ft. and one bath. Recent improvements: re-shingled roofs with new gutters,
            attic insulation added to R-38, 16 bathroom vent fans. All heating systems checked and many replaced.
            Condition of the apartments vary and many need remodeling. Current rents for the 16-units is $ 12, 460/mo.
            or 7.45 GRM with tenants paying heat, gas for hot water and electric. Excellent potential with today's low
            interest rates. One apartment is vacant to show at 2326 Allied, Apt # 2. Please wear masks.
        ",,,"3,000",0.74,62
$147,Condo/Townhome/Row Home/Co-Op,1970,1970,"New Carpet.Great opportunity to live in Monona. Grade & high school in Monona School
            district. Roof replaced in 2006, new windows and deck in 2011. Walking distance to many parks, library &
            pool.
        ",3,1.5,"1,362",,63
$136,Condo/Townhome/Row Home/Co-Op,1972,1972,"You will be quite impressed by this gorgeous updated 2nd floor end unit condo. Open
            concept-yes! Great flow-yes! Can you entertain and socialize while social distancing-yes! This unit is
            bright and cozy which makes you feel the comfort of home as soon as you walk in the door. Tile floors in all
            of the main areas, stainless steel appliances, solid surface and granite counter tops in the kitchen and
            bathrooms. Master bath and hallway bathroom have been remodeled. It is conveniently located to all parts of
            Madison, 10-15 minute drive to downtown, eastside or westside. You are steps away from Paunack Park. The
            bike path and walking paths are right in your back yard. This unit offers a wonderful view of the beautiful
            pool, gazebo, and courtyard!
        ",3,2,"1,544",,64
$111,Single Family Home,1943,1943,"Lovely Lakeview Heights location! Estate Sale! Same Owner since 1961! Opportunity knocks for
            Rehab/Flip Buyers who are pre-approved to be a cash Buyer! Property is an AS-IS as stands sale! Existing
            dwelling could be removed to start over as new construction! Large 77' x 177' lot. Close to Lakeview
            Elementary School, Lakeview Park and bus line! Walk to Mallards games at Warner Park! Short drive to Dane Co
            Airport!
        ",3,1,"1,352",0.3,65
$128,Single Family Home,2010,2010,"This beautiful executive home is conveniently located on a large lot in Grandview Commons on
            the east side of Madison. Walking distance to local parks, shopping and entertainment (including Great Dane
            and Metro Market). Inside you'll find gorgeous maple hardwood floors, an upgraded kitchen with granite
            countertops, tile backsplash, stainless steel appliances and walk-in pantry. Formal dining room, and eat-in
            kitchen. Large mudroom just inside the 3-car garage. Solid 6-panel doors. Upstairs are 4 large bedrooms w/
            guest bath. Huge owner's suite (16x20!) has oversized walk-in closet w/ organizers, dual-vanity sink, and
            separate tub. Finished lower level w/ 2 family/rec rooms. Plenty of room for everyone here. Maintenance-free
            composite deck w/ oversized brick patio leads to large backyard.
        ",4,3.5,"3,636",0.29,66
$141,Condo/Townhome/Row Home/Co-Op,1990,1990,"Waunakee Schools! Absolutely stunning first floor unit in Cherokee Garden! Look no further,
            this 2BR condo feels so much like a single family home you will forget you are living in the area's best run
            condo associations, large living rm w/ electric fireplace, sun rm w/ walkout to grounds (perfect for flower
            gardening), formal dining, huge galley kitchen w/ granite counters, stainless appliances, pantry &
            breakfast area, sun-filled family rm full of windows & private walkout to grounds. Master w/walk-in
            closet & full bath, spacious guest suite. All new windows, new flooring in BR's, new paint throughout.
            In-unit laundry, 2 heated underground parking spaces & storage unit. Condo fee includes: Outdoor pools,
            heat, hot water, sewer, trash, snow, grounds & reserve fund. Fee $321 if autopaid
        ",2,2,"1,967",,67
$175,Single Family Home,1995,1995,"Wonderfully maintained home in Westhaven Trails! Gleaming laminate floors welcome you
            throughout the first floor of this functional colonial. Cuddle up with a good book by your gas fireplace in
            the living room. Cook as many meals as your heart desires in your kitchen with brand new counter tops, sink
            and faucet. Watch your favorite sports game in the finished lower level and don't miss a play grilling out
            on the patio with your walkout lower level! Great yard size with mature trees and an invisible fence (collar
            included) for your pooch. UHP Ultimate Home Warranty -- just in case!
        ",3,3.5,"1,768","8,712",68
$181,Single Family Home,2000,2000,"Showings start 9/19. A meticulously maintained 3-bedroom, 2.5-bath home in the heart of
            Sandstone Ridge! As you walk in, notice the beautiful Bamboo floors running the entire first floor, natural
            sunlight and its welcoming feel. The kitchen will draw you in with its granite counters, stainless
            appliances and plenty of both storage & work space. Large owner's suite includes cathedral ceilings,
            ample closet space, granite & walk-in shower. Enjoy relaxing on the lemonade front porch or on the back
            deck, around the fireplace on a cool winter evening or in the lower level family room for movie night. So
            much new too...this home truly has it all! Located between two parks with play equipment, basketball courts
            & large green spaces, and near so many conveniences!
        ",3,2.5,"1,710","7,405",69
$137,Condo/Townhome/Row Home/Co-Op,2002,2002,"Why pay rent? Sweet 2 story end unit townhouse in the Poplar Creek area. Bring your
            imagination & get ready to make this space yours - large lvg rm, eat-in kitchen w/ your own private
            deck. Unbelievably large mstr bdrm with 2 closets, an 11x11 mstr bath that incl. separate shower, double
            sinks w/ lots of counter space & even the tub has a showerhead. Good size 2nd bdrm - perfect for guests,
            kids? One of only about 3 units w/ a FULL BASEMENT (9 ft ceilings!) - think of all that additional space you
            could finish down there! Just off the landing, there is a 5x5 area that can be used as a small study area or
            convert it to a closet - you have options! Walk/Bike to AmFam, UW Hospital. Shopping, groceries &
            restaurants SO close by, incl. Costco! Shelving stays.
        ",2,2.5,"1,600",,70
$152,Single Family Home,2007,2007,"Showings begin Friday at 3pm. 'Holy perfect house, Batman!' Tucked away on a private
            cul-de-sac and backing up wooded land this 2 story home is a solid buy! From the welcoming covered front
            porch, spacious living rm, dining rm w/ walk-out to custom deck & patio, to the gorgeous kitchen w/
            granite counters, SS appliances, full-size island & pantry. New flooring throughout main level, main
            level laundry & powder rm, 2nd flr features 3 bedrooms, master with walk-in, private bath w/ tub. LL is
            complete with family room, office/den & full bath (w/ tv). Huge private backyard is the perfect
            sanctuary for stay at home evenings and weekends.
        ",3,3.5,"2,010",0.32,71
$149,Single Family Home,1959,1959,"This home is on a quiet street on the North Side of Madison. Upon entering the home, you
            will find yourself in a large, bright, and sunny living room. From there you'll get a generous glimpse of
            the backyard OASIS! This home has a deck/porch that you can't miss. Large enough for plenty of outdoor
            entertaining in itself, it'll lead you to a backyard made for enjoyment with a deck and fire pit, and not to
            mention the shed! There are hardwood floors, lots of character, and a great use of space throughout this 3
            bedroom ranch. The basement is partially finished and comes with an old school pool table to help you
            furnish this mid century ranch! It is near Cherokee Park and a short bike ride to down town! Affordable
            living at it's finest!!
        ",3,1,"1,548","8,276",72
$159,Single Family Home,2003,2003,"OPEN FOR ADMIRATION! From the moment you enter the neighborhood you will feel at home.
            Inside you will love the warm details and updates, including a brand new Wolf range, Cove dishwasher, and
            beautiful waterfall quartz countertops adorning the kitchen, lovely tile, quality laminate wood floors, and
            the awesome wet bar in the basement. Outside you will enjoy quiet tree lined streets, clean alley driveways,
            easy walk-able shopping, dining, and errands as well as quiet parks in the sought after Grandview Commons
            neighborhood. This house has been well maintained and loved for many years and now it's time to MAKE IT
            YOURS!
        ",3,2.5+,"1,788","3,920",73
$294,Single Family Home,1944,1944,"Come see this beautiful, updated home. Brand new kitchen w/ granite counters and SS
            appliances. Refinished wood floors throughout, beautiful trim and doors add to the charming character of the
            home. The bathroom has been beautifully redone with new tile flooring, and a newly tiled shower. New washer,
            dryer, air conditioning and furnace are other great updates that you'll love. Enjoy the backyard with mature
            trees as you relax on the brand new concrete patio with fire pit. The walkability of the neighborhood is a
            huge bonus. You're within walking distance to Eken Park, as well as tons of great restaurants, bars, coffee
            shops, and Pick 'n Save. Updated electrical, plumbing, flashing, gutters, and downspouts. This
            ready-to-move-in home will sell quickly!
        ",2,1,834,"5,227",74
$175,Single Family Home,2006,2006,"Three bedroom, three full bath ranch home in Deforest school district! Meticulously
            maintained with luxurious materials throughout. Beautiful hickory floors, solid wood 4 panel doors, huge
            master suite. Kitchen has white maple cabinets with avwalkout deck to the backyard patio. Downstairs family
            room is spacious and set up to be a great theater room. Basement floor storage area sealed in red epoxy
            coating. 8x10 shed new in 2018, large patio installed spring of 2019, white six foot privacy fence in 2020
            make this backyard feel like home. Excellent location being 7 miles from the Capital Square and minutes from
            Sun Prairie Costco area and East Town. Don't wait!
        ",3,3,"1,684","6,534",75
$300,Condo/Townhome/Row Home/Co-Op,2002,2002,"Popular Blair House Condo - Comfortable Downtown Living. Walking distance to everything
            including steps away from the Lake, Capital Square, Farmer's Market, Restaurants & Shops. One master
            bedroom suite w/full bath, double sinks, & walk-in closet - plus additional half bath for guests. Washer
            & Dryer in unit. Nine-foot ceilings, wood & tile flooring, Living Room, w/gas fireplace. Unit has a
            NEST thermostat & August system controlled by phone if desired. South-facing unit w/private sunny screen
            porch & patio. Inside heated parking space & storage unit. Also, additional plus is a community
            patio for grilling. LOW CONDO FEES that include many extras: Internet, Hot Water, Water & Sewer, Trash,
            Common area maintenance, insurance, snow removal & reserve funds.
        ",1,1.5,900,,76
$157,Single Family Home,2006,2006,"OPEN HOUSE Sat. 9/27 1:00-3:00. Great 2-Story in desirable Churchill Heights neighborhood.
            Nice floor plan with vaulted ceilings, newer wood floors in living room, main floor laundry off kitchen,
            open staircase overlooking the living room, 6-panel oak doors & trim. Lower level has finished rec room,
            den/office & full bath. Nice deck off dining area and large fenced-in backyard with fire pit and raised
            garden beds. New range/oven, dishwasher & microwave (2018). NOTE: Sellers will leave chicken coop if
            buyers want. UHP Elite home warranty included.
        ",3,2.5,"1,844","6,534",77
$125,Single Family Home,1967,1967,"Back on the market! Great house, great location, great price! This home is a blank slate
            waiting for your personal touches to turn it into your perfect home. You will love the spacious feeling
            layout, the large backyard and the location just steps away from Kennedy school in the popular Rolling
            Meadows neighborhood.
        ",3,1.5,"1,806",0.26,78
$97,Condo/Townhome/Row Home/Co-Op,1975,1975,"Affordable 4 bedroom condo! Open concept great room and kitchen with SS appliances. Wood
            floors throughout. Split floorpan with 3 beds and a full bath on one side and bedroom with full bath on the
            other. Turn into a master suite, or use as an office and guest bath. Great condo association with reserve
            fund, pays your heat and hot water for you!! You won't find this much living for this price, anywhere else
            in Madison!! Seller offering a $1500 credit for wood floor refinishing.
        ",4,2,"1,187",,79
No Info,Mfd/Mobile Home,2018,2018,"Ready for some fun in the sun? Right now, you can purchase a 2018 3 bed/2 bath, 1120 sq. ft.
            home for only $62, 900.00 plus lot fees. This home is located in Oak Park Terrace, a family-oriented,
            professionally managed manufactured home community. Call today and make an appointment to view this home.
            Flexible financing options are available!
        ",3,2,,,80
$215,Single Family Home,1955,1955,"Affordable all brick ranch in Downtown Madison! Priced for condition, will need TLC and
            updating; but what a great location! Three bedrooms, wooden floors, screen porch, decent sized back yard. No
            garage or driveway, but plenty of street parking available. Walking distance to numerous local bars &
            restaurants, newer hot water heater and boiler. Great opportunity to stop paying rent and own your own home
            in Downtown Madison! Property sold as-is.
        ",3,1.5,975,"4,792",81
$228,Single Family Home,1908,1908,"If these walls could talk they'd say BUY ME! All of the heavy lifting has been done &
            character preserved in this 4 bd/1.5 ba home, located in popular Tenney Park area. Traditional layout w/~2,
            000 SqFt of living space over 3 stories! Fully remodeled kitchen offers a great layout, new cabinets,
            backsplash, granite ctrs & GE Cafe SS appliances. Add features incl original molding, trim, doors &
            hardware, refinished hardwoods, high ceilings, built ins, fresh landscaping, new decks (front & back),
            wood stove, 200 amp electric, PEX plumbing, upgraded bath, new 1/2 bath, main floor laundry, newer
            mechanicals (furnace, AC, water heater) & roof, new windows & fresh paint throughout. 1 car garage,
            add prkg pad & cute yard! Great urban location near E Johnson St eateries, Tenney Park & near
            downtown!
        ",4,1.5,"1,957","3,485",82
$128,Condo/Townhome/Row Home/Co-Op,1985,1985,"Bright 1BR/2BA loft condo in the West Towne Condominium development! Prime access to
            shopping/dining and a short drive into downtown Madison or Epic Systems. Private entry access. Stairs lead
            you up into the huge two-story great room which boasts vaulted ceilings, fireplace, and massive windows. An
            abundance of natural light streams in throughout the day! Open concept layout flows into the kitchen which
            is ideal for entertaining. Spacious loft hosts the bedroom with a private bathroom. Convenient in-unit
            laundry with washer/dryer. Access to the shared common building which ft. exercise room, mail room, meeting
            area w/ kitchen and free wi-fi!
        ",1,2,778,,83
$310,Single Family Home,1918,1918,"Showings begin Wed 9/16. Offers presented Sun 9/20. This beautiful bungalow is filled with
            charm. Original woodwork and hardwood floors throughout. Gorgeous chef's kitchen with stainless steel
            appliances and an open flow to dining and living areas. Wave to your neighbors from your cozy front porch or
            enjoy the sunrise from your covered back porch and spacious new deck. Lovely landscaping and private, full
            backyard with shed. Easily add 1 car garage. 3 sunny bedrooms upstairs with a full bath plus an additional
            full bath on the main level. Updates include water heater and Aprilaire, washer/dryer, dishwasher, some new
            windows. New roof in 2015. Unbeatable location! Walking distance to neighborhood amentities, Atwood,
            Olbrich, Lake Monona, near bike path and close to downtown.
        ",3,2,"1,209","4,356",84
$118,Single Family Home,2000,2000,"Very well-maintained 4 bedroom colonial across from Richmond Hill Park! Main level boasts
            open concept kitchen with island breakfast bar, planning desk, and walk-through butler's pantry to formal
            dining. Main level family room with gas fireplace and den/office. All bedrooms upstairs including master
            suite with walk-in closet and private full bath with double vanity. Finished lower level exercise room and
            rec/media room (no carpet) ready for your finishing touches. Other features include dual furnaces, 3 car
            finished heated garage and deck/patio overlooking the fenced backyard. Convenient location near parks,
            grocery, restaurants and more! Move-in ready!
        ",4,2.5+,"3,681",0.28,85
$148,Single Family Home,2005,2005,"Elegant 4 BR built for entertaining! 3 full baths. Main level laundry. 2 car attached garage
            ready for cold winters. Open concept w lofty ceilings. Green space out back home to owls, otters, deer and
            red fox. Master is glamorous! Downstairs the party continues w gas FP, built in bar, microwave for popcorn
            and mini-frig, room to play games or rock out, guest suite, 3rd full bath and workout/storage space. Come
            see! Won't last! Basement has been updated w/ new carpet and new paint.
        ",4,3,"2,630","7,841",86
$128,Condo/Townhome/Row Home/Co-Op,1985,1985,"Bright 1BR/2BA loft condo in the West Towne Condominium development! Prime access to
            shopping/dining and a short drive into downtown Madison or Epic Systems. Private entry access. Stairs lead
            you up into the huge two-story great room which boasts vaulted ceilings, fireplace, and massive windows. An
            abundance of natural light streams in throughout the day! Open concept layout flows into the kitchen which
            is ideal for entertaining. Spacious loft hosts the bedroom with a private bathroom. Convenient in-unit
            laundry with washer/dryer. Access to the shared common building which ft. exercise room, mail room, meeting
            area w/ kitchen and free wi-fi!
        ",1,2,778,,87
$193,Single Family Home,2001,2001,"Charming, move-in ready 3-bedroom, 3.5-bath colonial in a great location close to parks and
            recreation! Kitchen features beautiful granite countertops, white cabinetry, arabesque tile backsplash,
            stainless appliances, breakfast bar and pantry with dining overlooking the recently stained deck and yard.
            Cozy living room with built-ins framing gas fireplace. Perfect for cold, winter nights and Netflix
            marathons! Big bay window offers an abundance of natural light. Upstairs includes spacious bedrooms, full
            bathroom and a master suite with it's own attached full bathroom. Finished lower level offers a recreation
            room for game days, full bathroom, and plenty of storage space. Schedule your tour today!
        ",3,3.5,"1,680","6,970",88
$143,Single Family Home,1976,1976,"Accepted offer w/ bump. Meticulously maintained ranch home backing greenway in sought after
            Heritage Heights!! 1st time on the market! Owners have lovingly cared for this beautiful home & this is
            evident from the moment you step foot inside the front door! Wonderful kitchen with solid surface counters
            & stainless steel appliances. Dining area and kitchen (refinished hardwood floors) leads to deck &
            pergola overlooking beautiful green space. The view from the deck area is a must see! Main level rec room
            with gorgeous brick fireplace & built-ins. Wonderful tiled front porch & shed for all your tools.
            Huge lower level rec room & den plus plenty of storage. Walk to Kennedy School & several parks!
            Other upgrades: ceiling fans, carpet (rec rm), furnace, A/C, patio door, picture window, etc.
        ",3,2,"2,200",0.24,89
$203,Single Family Home,1960,1960,"Impeccable 5 bedroom mid-century modern raised ranch nestled on over 1/3 acre lot in the
            sought after University Hill Farms. Fully remodeled kitchen by Dream Kitchens in 2013; massive Quartz
            island, walk in pantry, and cabinets galore. Oversized windows (since ownership, all have been replaced)
            throughout the home let in an abundance of natural light. 4 bedrooms on the main level and 1 fully exposed
            bedroom in the basement, makes the perfect office, homeschool space, or guest quarters. Two fireplaces, two
            car garage. New AC and water softener in '19, Invisible Fence and garage doors in '18, washer/dryer and
            water heater in '17, roof in '16, exterior paint in '13...cont in docs. Any opportunity to own a home like
            this is rare, all you have to do is move in!
        ",5,3,"2,612",0.39,90
$125,Single Family Home,1949,1949,"Show 9/25. Welcome home to this adorable bungalow that has been lovingly cared for and
            maintained for nearly 20 years by the same owner! Located on the up and coming North side of Madison near
            the Mallard's stadium, Willy St Coop, and many new restaurants to enjoy. Meticulously landscaped, you will
            LOVE relaxing in the yard and tending to your own garden. Once inside, you'll fall in love with the quaint
            coziness of the interior of this home with the room to grow in the basement! With 2 full bathrooms and the
            opportunity for a third bedroom downstairs, this home is just waiting for a it's new owner to enjoy and care
            for it for years to come!
        ",2,2,"1,437","8,712",91
$209,Single Family Home,1954,1954,"Coveted location! Come see this charming 3 bed 1 bath in Glen Oak Hills neighborhood off
            Regent Street. Hardwood floors on main level. Walk through third bedroom perfect for home office overlooking
            back yard. Spacious finished LL complete with family room, workshop, laundry and plenty of storage. Close to
            Hilldale, bike paths and the bus line. Call for a showing today!
        ",3,1,"1,434","7,405",92
$143,Single Family Home,1967,1967,"Well cared for ranch offers a fantastic location in a very quiet, friendly, well maintained
            neighborhood. Abundant backyard is perfect for entertaining, gardening, and/or letting your pets and
            children run and play! This Home features three bedrooms, two baths, along with a deep one car garage.
            Updates in recent years include: Bathroom updated with a grand-sized walk in shower w/ luxury glass sliding
            door, full kitchen remodel featuring gorgeous maple cabinets, furnace/central air conditioning, vinyl siding
            and windows. As well as, a new large backyard patio! This one will not stay on the market long...schedule
            your showing today! buyer to verity dimensions/information if they deem necessary
        ",3,2,"1,678",0.25,93
$146,Condo/Townhome/Row Home/Co-Op,2003,2003,"Showings start 9/23. Make yourself at home in this meticulously maintained ground floor
            unit. Open floor plan is great for entertaining and full of natural light! Spacious bedroom features a large
            walk-in closet. This pet friendly home also has in-unit laundry, 1 heated underground parking space and a
            storage unit. Condo fees grant access to walking trails, outdoor pool, gym, movie theatre, tanning bed, and
            spacious entertaining area with kitchen! Great location with easy highway access, close to restaurants and
            shopping and just 10 minutes to downtown Madison. Hurry to see this one, it won't last long!
        ",1,1,990,,94
$145,Single Family Home,2003,2003,"Bright & light, beautifully updated & cared for ranch home in Blackhawk features an
            open floor plan w/stained red birch hardwood flooring thru-out. Spacious LR w/gas FP & white built-ins.
            Formal DR. Eat-in Kit has b-bar, Quartz tops, white cabs, SS appls, Blanco sink, pantry & dinette.
            Owner's suite has 2 WICs & large bath w/jetted tub & sep shower. Exposed LL has large RR,
            kitchenette, gym, 2 BRs, full bath & mult. storage spaces. Enjoy time on the composite deck & fire
            pit in backyard. Middleton schools. Updates incl: roof, siding, some windows, gutters & more. 3-car gar.
            Elite warranty.
        ",4,3,"4,658",0.3,95
$149,Single Family Home,1968,1968,"Golden Opportunity for Home Ownership! This ranch home is in a superior location as it is on
            a cul de sac and it backs up to the Elvehjem Sanctuary. This 3 bedroom 1-1/2 bath home features a spacious
            living room and large vaulted sun room which leads out to private deck great for grilling and entertaining.
            Lower level has a family room, bedroom, office and half bath. Newer furnace (2016). UHP Basic Home Warranty
            included! Home sold as is condition per seller. Great Opportunity!
        ",3,1.5,"1,708","9,583",96
$202,Single Family Home,1992,1992,"This is a home you need to experience to appreciate! Custom built w/ quality construction
            throughout, spacious home offers many updates along w/ room to expand! 2 Story Foyer greets you offering
            double closets & open to lvrm, dining, & kitchen areas w/ newer beautiful hardwd flrs! Updated
            Kitchen has granite counter tops, SS appliances, tile backsplash, lighting & is open to fam rm w/ cozy
            wd FP & built-ins on either side. Sun rm has vaulted ceilings, French Drs, & dr to deck &
            screened in gazebo! Completely remodeled bath in Owners suite features heated flring, double vanity, marble
            stall shower, whirlpool tub & double-sided gas FP! 2nd bdrm includes walk-thru to main bath. Huge bdrms
            include double closets w/ desk area in between. Walk-out LL, oversized 3 car garage, & so much more!
        ",3,2.5,"2,728",0.35,97
$155,Single Family Home,1991,1991,"This former parade home boasts high-end finishes for timeless luxury living. 4 bedrooms up,
            including a delightful suite with his/her WIC & 2 bedrooms have private vanities. Fully remodeled NARI
            award-winning gourmet kitchen: custom Subzero fridge, Wolf stove, quartz tops and wine bar. Main floor
            bedroom or office & half bath that can easily be converted back to 3/4. Finished lower level offers
            kitchenette, spacious family room w/fireplace, large rec room & lots of built-ins. This home has been
            beautifully updated and maintained! Built-ins and wood finishes galore and top-rated Middleton schools!
            Appraised Aug 2020 at $750k. MRP $719, 000-$739, 000.
        ",5,2.5+,"4,646",0.68,98
$147,Condo/Townhome/Row Home/Co-Op,1970,1970,"New Carpet.Great opportunity to live in Monona. Grade & high school in Monona School
            district. Roof replaced in 2006, new windows and deck in 2011. Walking distance to many parks, library &
            pool.
        ",3,1.5,"1,362",,99
$198,Condo/Townhome/Row Home/Co-Op,2017,2017,"Wonderful end-unit townhouse condo in a great West Madison location! This well-maintained
            home has numerous desirable updates and a highly functional open floor plan. The kitchen is the gem of the
            main floor, with quartz counters, a subway tile backsplash, convection oven, corian sink, and black
            stainless appliances. Upstairs, you'll find all three bedrooms, including a spacious and comfortable master
            suite. The lower level is partially finished - great for a family or rec room - and there is a private, cozy
            outdoor space just outside of your back door and next to the 2-car garage. Hurry - this one won't last long!
        ",3,2.5,"1,691",,100
