house_location,price,rooms,bedrooms,baths,levels,basement,garage,suburb,school_dist,mls,house_type,firm,firm_phone,agent,agent_phone,house_description,construction,heating,cooling,fireplace,gas,water,sewer,lot_dimensions,condo_level,hoa_fee,semiannual_taxes,bath_1_dimension,bath_1_level,bath_2_dimension,bath_2_level,bedroom_2_dimension,bedroom_2_level,bedroom_3_dimension,bedroom_3_level,dining_dimension,dining_level,family_dimension,family_level,kitchen_dimension,kitchen_level,laundry_dimension,laundry_level,living_dimension,living_level,master_dimension,master_level,directions,breakfast_dimension,breakfast_level,bath_3_dimension,bath_3_level,study_dimension,study_level,bedroom_4_dimension,bedroom_4_level,bedroom_5_dimension,bedroom_5_level,bath_4_dimension,bath_4_level,recreation_room_dimension,recreation_room_level
101 CRYSTAL LAKE,"$85,000 ",7,3,Jan-00,Tri-Level,Part,"2 Cars (Attached,Front)",COVINGTON,KENTON,250038,Single Family,COLDWELL BANKER WEST SHELL,(606) 525-7000,JOHN VINCE,(606) 525-7000,"HUD HOME SOLD AS IS CASE #202-008511,INSURED STATUS UI,UP TO 5%
(NEG)COMM TO SELLING BROKER. TO SUBMIT OFFER 888-292-3917 OR
WWW.GOLDENFEATHER.COM ALL OTHER INFO 800-336-1399. LIST DATE 1/7/00","Brick,Alum",Electric,Central Air,Wood,None,Public,Public,82X125,,0,$0 ,FULL,2,,,8 X 13,2,8 X 9,2,8 X 8,1,16 X 13,L,9 X 10,1,6 X 9,L,14 X 14,1,10 X 11,2,17 TO HANDS R ON CRYSTAL LAKE,,,,,,,,,,,,,,
4002 MADISON PKE,"$69,500 ",5,2,Jan-00,1 Story,Crawl,None,-,KENTON,244215,Single Family,HUFF REALTY,(606) 525-7900,LENA K CHRISTMAN,(606) 525-7900,"COUNTRY LIVING CLOSE TO 275, PIONEER PARK & DOE RUN LAKE! TOTALLY
REHABBED W/SKYLIGHT & VAULTED CEILINGS * SATELLE SYSTEM STAYS * ONE
FLOOR * PEACEFUL LIVING *",Vinyl,Gas,Central Air,None,Propane,Public,Septic,100 x 300,,0,$NA,FULL,1,,,12 X 10,1,,,,,,,15 X 12,1,7 X 7,1,14 X 13,1,15 X 12,1,"I-275 COV/INDEP EXIT SO 1 MI FROM I-275 R ON OLD
KY 17(MADISON)-NEXT TO NURSERY",,,,,,,,,,,,,,
2846 RICH RD,"$80,000 ",5,3,Feb-00,1 Story,Crawl,"1 Car (Detached,Front,Oversized,Heated)",PINER,KENTON,250037,Single Family,HUFF REALTY,(606) 525-7900,JUDY LANCASTER,(606) 525-7900,"WWW.HUFF.COM * NICE CLEAN DETACHED GARAGE WITH ELECTRIC * COMPRESSOR
STAYS 2ND TRAILER DOES NOT STAY * MANY EXTRAS * CALL JUDY LANCASTER
FOR MORE DETAILS 525-5714",Vinyl,"Electric,Forced Air",Central Air,None,None,Cistern,Aerobic,irreg,,0,$NA,FULL,1,FULL,1,14 X 10,1,11 X 9,1,,,,,14 X 12,1,5 X 4,1,18 X 14,1,14 X 13,1,HWY 17 TO RICH RD 1ST ON LEFT,,,,,,,,,,,,,,
542 RUE DE MAISONS,"$299,900 ",11,4,1-Mar,1 Story,Full,2 Cars (Attached),-,KENTON,237601,Single Family,HUFF REALTY,(606) 525-7900,THOMAS M REESE,(606) 525-7900,"NEW CONSTRUCTION LOT # 11 RICO BUILDER IS QUALITY MINDED W/CUSTOM
DESIGNS CALL TOM REESE FOR DETAILS 525-5782 * CUSTOM RANCH * WALKOUT
LOWER LEVEL WITH 10' CEILINGS","Brick,Vinyl","Gas,Forced Air",Central Air,Gas,Natural,Public,Public,IRREGULAR,,0,$NA,FULL,1,FULL,1,12 X 12,1,12 X 12,1,14 X 12,1,20 X 20,L,13 X 12,1,8 X 6,1,21 X 18,1,18 X 15,1,"DIXIE TO SOUTH ARLINGTON TO L ON CECELIA TO L ON
RUE-DE-MAISONS",12 X 9,1,FULL,L,,,,,,,,,,
1032 JACKSON RD,"$259,900 ",11,5,2-Feb,3 Story,Full,"1 Car (Builtin,Front)",PARK HILLS,KENTON,248953,Single Family,HUFF REALTY,(606) 341-7400,PATTY COSLETT,(606) 341-7400,"*COMP RENOVATED W/FAM RM+OWNERS STE ADDITION*1ST FLR LAUND-KIT*BR
AREA*FORM AL DR*SOL*ROOKWD FP*OWN STE HAS ULTRA BTH &
WHIRLPOOL*VERANDA OVERLOOKS WOO DED LOT FROM MBDRM*HDWD FLRS*TUDOR
STYLE W/CHARACTER*5TH BR COULD BE OFFICE",Stucco,"Gas,Forced Air",Central Air,Gas,Natural,Public,Public,IRREGULAR,,0,$N/A,FULL,2,FULL,2,13 X 11,2,11 X 11,2,14 X 13,1,14 X 12,1,12 X 10,1,,,18 X 12,1,20 X 13,2,"AMSTERDAM TO L ON PARK-TURNS INTO CLEVE LAND TO
R ON JACKSON RD",18 X 8,1,PART,1,11 X 6,1,11 X 11,2,17 X 16,3,PART,1,,
50 COOL SPRINGS,"$337,334 ",11,4,1-Feb,2 Story,Full,"3 Cars (Attached,Side)",UNION,BOONE CO,249704,Single Family,"ZARING REALTY, INC.",(513) 489-8849,DOUGLAS C HINGER,(513) 489-8849,ZARING QUALITY BUILT. CALL AGENT AT 606-485-1503.,Brick,Gas,Central Air,Gas,Natural,Public,Public,irr,,0,$0 ,FULL,2,FULL,2,10 X 11,2,11 X 11,2,13 X 15,1,19 X 19,1,11 X 15,1,6 X 6,1,13 X 16,1,13 X 19,2,"I-75 S TO W ON US 42 UNION EXIT,COMMUNITY ON L
ACROSS FROM RYLE HIGH",11 X 13,1,PART,1,12 X 10,1,,,,,,,,
591 IRISH ROSE LN,"$219,900 ",7,3,1-Feb,2 Story,Full,"2 Cars (Attached,Front)",LOT #4,KENTON,241456,Single Family,HUFF REALTY,(606) 341-7400,PATTY COSLETT,(606) 341-7400,"CUSTOM BLT 'BUCKS COUNTY' DESIGN BY THOMAS SCOTT HOMES-OPEN 2STY-GREAT
RM W/CORNER FPL-KIT/BR AREA W/WALKOUT TO PATIO-2 CAR ATT-LEV LOT-PART
STONE & BRICK FRONT-HDWD ENTRY-WIDE STAIRCASE-OPEN FL PL-IN HEART OF
PARK HILLS","Brick,Vinyl,Stone","Gas,Forced Air",Central Air,"Wood,Gas,Ceramic",Natural,Public,Public,IRREGULAR,,0,$N/A,FULL,2,FULL,2,14 X 10,2,11 X 11,2,14 X 11,1,20 X 15,1,13 X 11,1,12 X 6,1,,,16 X 13,2,"DIXIE HWY TO R ON S ARLINGTON TO L ON EXTER TO
ENT AT PARKVIEW",10 X 10,1,PART,1,,,,,,,,,,
1116 EXTER DR,"$214,500 ",8,3,1-Feb,2 Story,Full,"2 Cars (Attached,Front)",PARK HILLS,KENTON,241455,Single Family,HUFF REALTY,(606) 341-7400,PATTY COSLETT,(606) 341-7400,"CUSTOM BLT 2STY BY THOMAS SCOTT HOMES-PART STONE FRONT-GAS FPL-LG MBR
W/ VAULTED CEIL & SITTING RM-'T' STAIRCASE-1ST FLR LAUND-2 CAR
ATT-OPEN FL PL W/OPT BONUS RM OVER GAR-LOCATED IN HEART OF PARK
HILLS-MINS TO CINTI","Vinyl,Stone","Gas,Forced Air",Central Air,"Gas,Ceramic",Natural,Public,Public,IRREGULAR,,0,$N/A,FULL,2,FULL,2,13 X 10,2,12 X 10,2,12 X 10,1,17 X 12,1,14 X 10,1,9 X 7,1,,,17 X 16,2,"DIXIE HWY TO R ON S ARLINGTON TO L ON EXTER TO
ENT AT PARKVIEW",14 X 12,1,PART,1,12 X 11,1,,,,,,,,
1215 AUDUBON RD,"$189,800 ",7,3,Jan-00,2 Story,Full,"1 Car (Builtin,Rear)",PARK HILLS,KENTON,245923,Single Family,RE/MAX AFFILIATES INC,(606) 341-0500,JANE ASHCRAFT-WEST,(606) 341-0500,"DON'T MISS THIS GREAT OPPORTUNITY! TOTALLY UPDATED/REFINISHED HDWD
FLRS/ GAS FIREPLACE W/CERAMIC LOGS & CUSTOM WOOD MANTLE &
ACCENTS/WHITE KITCHEN W/NEW APPLIANCES/NEW LIGHTING THROUGHOUT/NEW
MECHANICS/ & MUCH MORE!",Brick,"Gas,Forced Air","Central Air,Atic Fan","Gas,Ceramic",Natural,Public,Public,95 X 245,,0,$0 ,FULL,2,,,15 X 11,2,11 X 11,2,11 X 10,1,18 X 11,1,11 X 8,1,,,15 X 15,1,15 X 10,2,"DIXIE HWY TO SLEEPY HOLLOW TO R ON AMSTERDAM TO
L ON PARK TO L ON AUDUBON",,,,,,,,,,,,,,
1142 OLD STATE RD,"$153,900 ",6,3,Jan-00,2 Story,Part,None,PARK HILLS,KENTON,248742,Single Family,COLDWELL BANKER WEST SHELL,(606) 341-9000,MARY K ALLHOFF,(606) 341-9000,"WONDERFUL OLD FARM HOUSE IN THE HEART OF PARK HILLS*LARGE ROOMS*WOOD
FLOORS CEILING FANS*LOTS OF STORAGE*ENCLOSED BACK PORCH W/VINYL
WINDOWS*HUGE ATTIC STORAGE-COULD BE 4TH BDRM*HOMEOWNER WARRANTY
INCLUDED",Vinyl,"Gas,Forced Air",Window Unit,None,Natural,Public,Public,IRREGULAR,,0,$0 ,FULL,1,,,15 X 13,2,13 X 12,2,,,,,14 X 12,1,,,16 X 14,1,14 X 11,1,SLEEPY HOLLOW TO OLD STATE ROAD,,,,,,,,,,,,,,
836 ARLINGTON,"$134,900 ",7,3,Feb-00,1.5 Story,Full,1 Car (Builtin),PARK HILLS,KENTON,249647,Single Family,RE/MAX AFFILIATES INC,(606) 372-6000,MARY CREEKMORE,(606) 372-6000,"GREAT STARTER HOME FAMILY RM ON LOWER LEVEL. FULL BATH WITH JACUZZI
HARDWOOD FLOORS. SECOND FLOOR DORMER.",Brick,"Gas,Forced Air",Central Air,Wood,Natural,Public,Public,IRR,,0,$#,FULL,,FULL,,11 X 10,1,36 X 11,2,13 X 11,1,17 X 16,L,12 X 10,1,,,13 X 10,1,13 X 12,1,DIXIE HWY NORTH RIGHT ON ARLINGTON,,,,,,,,,,,,,,
702 ST. JOSEPH LN,"$119,900 ",7,4,1-Jan,1.5 Story,Full,"1 Car (Builtin,Front)",PARK HILLS,KENTON,247660,Single Family,HUFF REALTY,(606) 341-7400,GLORIA JOHNS,(606) 341-7400,"* NEW KITCHEN * SOLID WOOD DOORS * NEW CARPET & BASEBOARD * LOWER
LEVEL HAS SHOWER & COMMODE PLUS LARGE FAMILY RM * WITHIN MINUTES TO
CINTI & AIRPORT * WALK TO COV CATH, NOTRE DAME OR ST. AGNES * IN HEART
OF PARK HILLS *",Brick,"Gas,Forced Air",Central Air,Wood,Natural,Public,Public,50X225,,0,$N/A,FULL,1,PART,L,12 X 11,1,14 X 14,2,,,24 X 12,L,17 X 12,1,,,17 X 12,1,15 X 10,1,DIXIE HWY TO R ON ST. JOSEPH,,,,,,,14 X 12,2,,,,,,
1536 SLEEPY HOLLOW,"$106,900 ",8,3,1-Jan,Bi-Level,Full,"1 Car (Builtin,Front,Oversized)",PARK HILLS,KENTON,247621,Single Family,RE/MAX AFFILIATES INC,(606) 341-0500,CHRISTINE E STURGIL,(606) 341-0500,"PARK HILLS CHARM-GREAT LOCATION-CLOSE TO PARK,SHOPPING & XWAY! FRESHLY
PAINTED INSIDE & OUT.LARGE ROOMS-WALKOUT TO PATIO W/WOODED VIEW! NEWER
REPLACEMENT WINDOWS,ROOF,HWH,REFRIGERATOR,HARDWOOD UNDER CARPET.GREAT
BUY!",Brick,"Gas,Forced Air",Central Air,None,Natural,Public,Public,irreg,,0,$#,FULL,U,PART,L,14 X 9,U,10 X 9,U,11 X 8,U,26 X 18,L,10 X 9,U,13 X 7,L,16 X 14,U,13 X 11,U,"DIXIE HIGHWAY NORTH TO L SLEEPY HOLLOW AFTER
STOP SIGN",,,,,,,,,,,,,,
1123 MOUNT ALLEN,"$89,900 ",5,2,Jan-00,1 Story,Full,"1 Car (Builtin,Front)",-,KENTON,248071,Single Family,HUFF REALTY,(606) 525-7900,RUTH E VOORHEES,(606) 525-7900,"SUPER NICE NEUTRAL DECOR*BEAUTIFUL HARDWD FLRS*CARPETED FAM/SUN RM *
NEWER WINDOWS,C/A & FURNACE*ALL NEW DRAIN TILE & SUMP PUMPS*GARAGE
DOOR OPENER* 12X24 RM IN BSMT COULD BE FINISH FAM RM *NICE REAR YARD
*CALL RUTH 525-5769",Brick,"Gas,Forced Air",Central Air,"Wood,Brick",Natural,Public,Public,51 x 101,,0,$NA,FULL,1,,,12 X 9,1,,,,,18 X 9,1,12 X 8,1,,,17 X 12,1,13 X 10,1,DIXIE HWY TO SOUTH ARLINGTON LEFT ON MT ALLEN,,,,,,,,,,,,,,
14011 MADISON PIKE,"$225,000 ",4,2,Jan-00,1 Story,None,None,MORNINGVIEW,KENTON,249517,Farms,RE/MAX AFFILIATES INC,(606) 341-0500,PAT GREGORY,(606) 341-0500,"GREAT PROPERTY FOR HORSES-CREEK SURROUNDS ACREAGE ON 3 SIDES-LOTS OF
MARKETABLE TREES-OWNER WILL PARCEL OFF 25 ACRES OR MORE! - PROPERTY
HAS A BARN AND 2 MOBILE HOMES THAT CAN BE LEASED!",Other,"Oil,Forced Air",Window Unit,None,None,Cistern,Septic,IRREGULAR,,0,$0 ,,,,,,,,,,,,,,,,,,,,,"6 MILES SOUTH OF INDEPENDENCE COURT HOUSE ON RT
17 (MADISON PIKE)",,,,,,,,,,,,,,
1025 BRACHT PINER,"$139,900 ",11,4,Mar-00,1 Story,Full,"2 Cars (Attached,Front,Oversized)",MORNINGVIEW,KENTON,247180,Single Family,SIBCY-CLINE REALTORS INC,(606) 525-8888,SUSAN FRIEDMAN,(606) 525-8888,"INT PHOTOS WWW.SIBCYCLINE.COM*BRICK RANCH W/GENEROUS LIVING SPACE*LG
EAT-IN KIT*GR RM*LIV RM COULD BE USED FOR FORMAL DR*MORE FIN SPACE IN
LL*1ST FLOOR STOVE WILL BE REPLACED W/LL STOVE*CAB ABOVE REFRIG WILL
BE REINSTALLED",Brick,"Gas,Forced Air",Central Air,Wood,Propane,Public,Septic,100x196,,0,$.,FULL,1,FULL,1,13 X 9,1,11 X 10,1,13 X 18,1,23 X 12,1,12 X 17,1,,,,,11 X 12,1,"S75 L OFF WALTON-VERONA EXIT R ON US 25 L ON RT
14 (BRACHT PINER RD)",,,FULL,L,13 X 12,L,15 X 12,L,,,,,,
3166 ASBURY RD.,"$134,900 ",8,3,Feb-00,1.5 Story,Part,"(Detached,Side)",AUGUSTA,BRACKEN CO,248886,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,MARTHA KERN,(606) 564-7653,"LAND GENTLY ROLLING MOSTLY CLEARED.HOUSE 150+ YRS OLD.KITCHEN HAS BEEN
UP- DATED,BEAUTIFUL STAIRCASE.QUAINT FEATURES.JUST NEEDS A LITTLE TLC
& A HANDY MAN'S TOOLS.LR HAS EXTRA 10X11 L SHAPE.2 BONUS RMS.HAS DUCT
WORK FOR GAS HT",Other,Electric,Window Unit,"Wood,Gas,Inoperable",At Street,Public,None,unk,,0,$NONE,FULL,1,FULL,1,16 X 16,2,16 X 16,2,,,26 X 14,1,16 X 15,1,9 X 12,1,26 X 15,1,11 X 18,1,"AA HWY SOUTH TO RT HWY 2370 TO RT. ASBURY RD.
PROPERTY ON LEFT.",,,,,,,,,,,,,,
69 PAVILION CT,"$331,746 ",11,4,1-Feb,2 Story,Full,"3 Cars (Attached,Side)",UNION,BOONE CO,249695,Single Family,"ZARING REALTY, INC.",(513) 489-8849,DOUGLAS C HINGER,(513) 489-8849,ZARING QUALITY BULILT. CALL AGENT AT 606-485-1503.,Brick,Gas,Central Air,Gas,Natural,Public,Public,irr,,0,$0 ,FULL,2,FULL,2,13 X 11,2,13 X 12,2,14 X 15,,23 X 15,1,11 X 15,,6 X 8,,13 X 16,,16 X 17,2,"I-75 TO W ON US 42 UNION EXIT- COMMUNITY ON L
ACROSS FROM RYLE HIGH",11 X 13,,FULL,2,12 X 10,,11 X 12,2,,,PART,1,,
2218 MOFFETT RD,"$134,900 ",6,4,Jan-00,1.5 Story,Crawl,None,MORNINGVIEW,KENTON,247046,Single Family,TOM HELSON REALTORS,(606) 525-8600,GRACE PANKO,(606) 525-8600,"WONDERFUL OPPORTUNITY! BUILD YOUR DREAM HOME HERE AND LET RENTAL HELP
PAY MORTGAGE FOR YOU!! MAKE OFFER SELLER MOTIVATED! WATER ON ROAD!
APPROX.125 FEET ROAD FRONTAGE.",Wood,Gas,None,None,Propane,Cistern,Septic,0,,0,$0 ,FULL,1,,,16 X 16,1,8 X 8,2,,,,,16 X 16,1,,,16 X 16,1,16 X 16,1,"275 TO S ON 17 GO APPROX.10 MILES TURN L ON
MOFFETT VALUE IN LAND! NOW RENT $450/M",,,,,,,8 X 8,2,,,,,,
14011 MADISON PIKE,"$125,000 ",4,2,Jan-00,1 Story,None,None,MORNINGVIEW,KENTON,249520,Single Family,RE/MAX AFFILIATES INC,(606) 341-0500,PAT GREGORY,(606) 341-0500,"PROPERTY HAS 2 MOBILE HOMES THAT CAN BE USED OR RENTED.50 ADDT'L ACRES
ARE AVAILABLE AT $3000 PER ACRE. IDEAL FOR HORSES-LOTS OF MARKETABLE
TREES ALSO A BARN ON THE PROPERTY IS AVAILABLE. CALL PAT FOR INFO
344-7303.",Other,"Oil,Forced Air",Window Unit,None,None,Cistern,Septic,IRREGULAR,,0,$0 ,,,,,,,,,,,,,,,,,,,,,"6 MILES SOUTH OF INDEPENDENCE COURT HOUSE ON
RT17 (MADISON PIKE) ON LEFT",,,,,,,,,,,,,,
710 BRACHT PINER,"$123,900 ",5,3,Feb-00,1 Story,Full,"2 Cars (Attached,Front,Oversized)",PINER,KENTON,249903,Single Family,STAR ONE REALTORS,(606) 344-8700,DEBORAH L WEILER,(606) 344-8700,"GREAT 3 BEDROOM RANCH. NEW CARPET AND FRESHLY PAINTED! IMMEDIATE
POSSESSION ONE ACRE. HOME WARRANTY INCLUDED. CO-LISTER LINDA KREIDLER
(395-3576)","Brick,Alum","Oil,Forced Air",Window Unit,"Wood,Brick",Propane,Cistern,Septic,irregular,,0,$0 ,FULL,1,FULL,L,13 X 10,1,10 X 10,1,,,,,13 X 12,1,,,21 X 13,1,13 X 12,1,"75 S TO WALTON, EXIT L TO 25, R ON 25 TO L ON
BRACHT PINER",,,,,,,,,,,,,,
2479 HEMPFLING,"$84,900 ",5,3,Jan-00,1.5 Story,Full,1 Car (Builtin),MORNINGVIEW,KENTON,249804,Single Family,RE/MAX AFFILIATES INC,(606) 341-0500,JENNY COTE,(606) 341-0500,"COMPLETELY UPDATED CAPE COD ON HALF ACRE-MUST SEE TO BELIEVE!
IMMEDIATE POSSESSION - HURRY THIS ONE WON'T LAST! WATER AT STREET",Vinyl,"Gas,Forced Air",None,None,None,Cistern,Septic,SEE PLAT,,0,$0 ,FULL,1,,,11 X 11,1,11 X 9,1,,,,,17 X 12,1,,,15 X 12,1,16 X 12,2,S ON 17 TO LEFT ON HEMPFLING,,,,,,,,,,,,,,
316 LINDEN,"$86,000 ",8,3,Feb-00,2 Story,Part,2 Cars (Detached),-,KENTON,250295,Single Family,HUFF REALTY,(606) 525-7900,ARDITH SCOTT,(606) 525-7900,"RWW.HUFF.COM * DOUBLE TREED LOT WITH 2 CAR DETACHED GARAGE *NEW A/C *
NEWER WINDOWS * NEW CARPET * RENOVATED BATH * HARDWOOD FLOOR
REFINISHED * NEWLY PAINTED * STORAGE SHED *",Brick,"Gas,Forced Air",Central Air,None,Natural,Public,Public,100x100,,0,$NA,FULL,1,FULL,1,15 X 13,2,15 X 14,2,15 X 13,1,,,20 X 15,1,,,15 X 15,1,,1,"SLEEPY HOLLOW @ KYLES LN EXIT I-75 RIGHT ONTO
LINDEN * HOUSE ON LEFT",,,,,,,16 X 15,3,,,,,,
3615 GLENN AV,"$79,921 ",6,3,Jan-00,2 Story,Full,None,LATONIA,KENTON,248320,Single Family,CENTURY 21 GARNER PROPERTIES,(606) 525-6777,EVERETT BAKER,(606) 525-6777,"COMPLETELY RE-DECORATED HOME. NEW VINYL FLOORING IN KITCHEN,NEW
BLINDS, WALL PAPER. THIS IS A MUST SEE.WON'T LAST. EXTRA LOT WITH
PROPERTY.",Alum,"Gas,Forced Air",Window Unit,Dummy,Natural,Public,Public,irreg,,0,$0 ,FULL,2,,,9 X 11,2,9 X 11,2,10 X 15,1,,,12 X 12,1,,,12 X 11,1,10 X 11,2,"WINSTON TO SOUTHERN, CORNER SOUTHERN AND GLENN",,,,,,,,,,,,,,
4432 VERMONT,"$74,900 ",6,4,Jan-00,1 Story,Part,1 Car (Detached),LATONIA,KENTON,248526,Single Family,HUFF REALTY,(606) 781-5100,MELISSA BAKER,(606) 781-5100,"4BEDROOM RANCH FULLY REMODELED INSIDE AND OUT. NEW FURNACE, NEWER ROOF
& SIDING, WINDOWS, KITCHEN, BATH. THIS HOME SITS ON A DOUBLE FENCED
CORNER LOT WITH A BEAUTIFUL MATURE TREE. CALL TODAY AT 578-4038.",Vinyl,"Gas,Forced Air",Central Air,None,Natural,Public,Public,irregular,,0,"$9,999 ",FULL,1,,,13 X 13,1,13 X 16,2,,,,,14 X 14,1,,,14 X 17,1,14 X 13,1,DECOURSEY TO 43RD TO RIGHT ON VERMONT,,,,,,,13 X 13,1,,,,,,
12 E 29TH,"$68,900 ",6,2,Feb-00,1 Story,Full,None,LATONIA,KENTON,249122,Single Family,STAR ONE REALTORS,(606) 344-8700,PAULA HAMM,(606) 344-8700,"ADDL. PHOTOS WWW.STAR-ONE.COM* NICE HOME, KITCHEN UPDATED INCLUDING
NEW BAY WINDOW.BOTH BDRMS HAVE 2 WALK-IN CLOSETS,ALSO NEW
WINDOWS,NEWER ROOF,GUTTER DOWNSPOUTS.FR/BSMT COULD BE 3RD BEDROOM.WILL
PASS COV.'YES YOU CAN PROGRAM'","Brick,Wood,Vinyl","Gas,Forced Air",Central Air,"Elec,Inoperable",Natural,Public,Public,35 x 90,,0,$0 ,FULL,2,FULL,B,14 X 13,2,,,16 X 10,1,17 X 13,B,11 X 10,1,,,18 X 14,1,14 X 13,2,DECOURSEY TO E. 29TH BEHIND SHELL GAS STATION,,,,,,,,,,,,,,
218 W 34TH,"$58,000 ",4,2,Jan-00,1 Story,Part,None,LATONIA,KENTON,250085,Single Family,A 4% REALTY,(606) 572-0885,MAX BRAUNE,(606) 572-0885,,"Brick,Wood,Alum","Gas,Forced Air",None,"Dummy,Inoperable",Natural,Public,Public,9999x9999,,0,"$99,999 ",FULL,1,,,10 X 11,1,,,,,,,10 X 14,1,,,13 X 14,1,14 X 13,1,"DECOURSEY OR LATONIA TO SOUTHERN,BECOMES W 34TH",,,,,,,,,,,,,,
138 W LAKESIDE,"$679,900 ",12,5,2-Apr,2 Story,Full,"2 Cars (Attached,Side)",-,KENTON,241377,Single Family,HUFF REALTY,(606) 525-7900,SUSAN HUFF,(606) 525-7900,"CHARMING! QUALITY BUILT 4100 SQ FT+3000 SQ FT IN LL*WILLIAMSBURG STYLE
HOME ON WOODED 1.9AC LOT *INGROUND POOL,TENNIS COURTS,HOBBY
BARN,HARDWOOD FLOORS 1ST FLR MASTER SUITE, FINISHED LL W/WET BAR*
BUILT BY DETERS * WWW.HUFF.COM",Brick,"Gas,Hot Water",Central Air,"Wood,Gas,Brick,Stone",Natural,Public,Public,190 X250,,0,$NA,FULL,1,FULL,1,14 X 12,1,12 X 12,1,15 X 15,1,23 X 20,1,17 X 15,1,14 X 14,L,22 X 15,1,20 X 18,1,DIXIE HWY TO WEST LAKESIDE,17 X 14,1,FULL,2,14 X 12,L,16,X,15 X 11,2,PART,1,27 X 25,L
11177 HWY 42,"$325,000 ",7,4,Feb-00,1 Story,Full,"2 Cars (Builtin,Side)",-,BOONE CO,248703,Single Family,HUFF REALTY,(606) 525-7900,SUSAN HUFF,(606) 525-7900,"WWW.HUFF.COM * TRULY BEAUTIFUL SETTING *QUALITY BUILT BRICK RANCH ALL
ON 18 ACRES * KITCHEN DOOR LEADS TO DECK * WOODS & SHED * LARGE POLE
BUILDING * LIVING ROOM W/BRICK FIREPLACE * OWNER CURRENTLY HOOKING UP
TO CITY WATER *",Brick,"Gas,Forced Air","Central Air,Atic Fan",Wood,Propane,Public,Septic,-,,0,$NA,FULL,1,FULL,L,15 X 11,1,12 X 11,L,12 X 10,1,,,12 X 8,1,15 X 12,L,21 X 14,1,15 X 13,1,"SOUTH ON US 42-2 MI PAST RYLE HIGH SCHOOL ON
RIGHT DIRECTIONAL SIGN TO HOUSE",,,,,,,11 X 11,L,,,,,,
2 FLOWER CT,"$496,000 ",13,5,2-May,3 Story,Full,"2 Cars (Attached,Detached)",LAKESIDE PARK,KENTON,249725,Single Family,COLDWELL BANKER WEST SHELL,(606) 341-9000,MARY LOU BLOUNT,(606) 341-9000,"STATELY COLONIAL IN AN AREA OF FINE OLDER HOMES. LOCATION! LOCATION!
LOCATION! GREAT FOR ENTERTAINING AND ALSO FOR A LARGE FAMILY. THIS
HOME HAS 5 FULL BATHS & 2 PARTIAL BATHS. A PLEASURE TO SHOW!","Brick,Wood","Gas,Forced Air","Central Air,Atic Fan","Wood,Gas,Dummy",Natural,Public,Public,PLAT,,0,$0 ,FULL,,FULL,,15 X 14,2,15 X 13,2,16 X 15,1,23 X 18,1,24 X 15,1,15 X 15,L,24 X 15,1,23 X 15,2,DIXIE HWY SOUTH ON R ON HUDSON LFT ON FLOWER CT,,,FULL,,22 X 13,1,15 X 10,2,24 X 15,3,FULL,,23 X 15,L
2723 MARLO WAY,"$449,000 ",12,5,1-Mar,2 Story,Full,"2 Cars (Attached,Side)",-,KENTON,249997,Single Family,HUFF REALTY,(606) 525-7900,SUSAN HUFF,(606) 525-7900,"ABSOLUTELY GORGEOUS! COMPLETELY REMODELED IN 1995 * BEAUTIFULLY
LANDSCAPED LOT WITH PRIVATE CIRCULAR DRIVEWAY! HARDWOOD FLOORS
FINISHED LOWER LEVEL * CONVENIENTLY LOCATED IN ONE OF NO KY'S FINEST
LOCATIONS!",Brick,"Gas,Hot Water",Central Air,"Wood,Gas",Natural,Public,Public,141X175,,0,$NA,FULL,2,FULL,2,14 X 12,2,15 X 12,2,15 X 13,1,15 X 15,1,12 X 12,1,14 X 12,L,24 X 15,1,17 X 14,2,DIXIE HWY TO W LAKESIDE L ON MARLO WAY,12 X 11,1,FULL,L,,,15 X 12,2,15 X 15,L,PART,1,24 X 14,L
2621 SHAKER RD,"$399,900 ",13,4,1-Mar,2 Story,Full,"2 Cars (Attached,Rear)",LAKESIDE PARK,KENTON,247225,Single Family,SIBCY-CLINE REALTORS INC,(606) 331-4444,KATHERINE W TERWORT,(606) 331-4444,"ATTRACTIVE TRADITIONAL BRICK HOME. LOVELY PATIO ON LARGE LANDSCAPED
LOT. BONUS ROOM OVER GARAGE . 1ST FLR LAUNDRY RM. THREE FIREPLACES.
FINISHED BSMT W/GUEST RM AND FULL BATH. WALKOUT. EQUIPPED KITCHEN,
GREAT FLOOR PLAN.",Brick,"Gas,Forced Air",Central Air,Wood,Natural,Public,Public,100X175,,0,$0 ,PART,1,FULL,2,13 X 17,2,14 X 16,2,10 X 13,1,16 X 17,1,11 X 14,1,,1,17 X 27,1,17 X 18,2,DIXIE TO W LAKESIDE TO L ON SHAKER RD,11 X 11,1,FULL,2,,,10 X 13,2,,,FULL,L,,L
