code,title,schedule_line,section_code,credits,days,start_time,end_time,building,room,instructor,restrictions
PHYS 496,SEM CURRENT PROBS,6214,A,1-3,Th,1230,220,PAB,B109,"ROBERTSON,R",MEETS WRITING COURSE REQUIREMENT
PHYS 503,TEACHING PHYSICS,6215,A,1,M,215,320,PAT,C211,"MC DERMOTT,L","CREDIT/NO CREDIT ONLY 
 CALL 206-685-2046 FOR DETAILS"
PHYS 506,NUMERICAL METHODS,6216,A,3,MWF,930,1020,PAB,B101,"CRAMER,J",
PHYS 507,PHYS GROUP THEORY,6217,A,3,TTh,930,1050,PAB,B109,"BERTSCH,G",
PHYS 511,CONTEMPORARY PHYSIC,6218,A,3,MWF,1230,120,PAA,A118,"ADELBERGER,E",
PHYS 515,ELECTRMAG & RELTVTY,6219,A,4,TTh,1130,120,PAA,A110,"MILLER,G",
PHYS 519,QUANTUM MECHANICS,6220,A,4,MTWF,1030,1120,PAA,A114,"BROWN,L",
ANTH 562,CLIN APPLIED ANTHRO,1250,A,3,W,930,1220,HST,T474A,"CHRISMAN,N","OFFERED JOINTLY WITH NURS 562 A 
 GRADS ONLY"
PHYS 522,INTRO MODERN QFT,6221,A,3,MWF,1030,1120,PAB,B109,"SHARPE,S",CREDIT/NO CREDIT ONLY
PHYS 541,APPL OF QUANT PHYS,6222,U,4,MW,700,850P,PAA,A114,"INGALLS,R","CALL 206-543-2778 FOR DETAILS 
 REGISTER ON STAR AT 206-548-7827"
PHYS 565,GENERAL RELATIVITY,6224,A,3,MWF,130,220,PAB,B109,"BARDEEN,J",
PHYS 568,THEORY OF SOLIDS,6225,A,3,TTh,1130,120,PAA,A118,"DEN NIJS,M",CREDIT/NO CREDIT ONLY
PHYS 571,QUANTUM FIELD THRY,6226,A,3,MWF,930,1020,PAA,A212,"KUMAR,P",CREDIT/NO CREDIT ONLY
PHYS 575,SEL TPCS APPL PHYS,6227,U,4,TTh,700,900P,PAA,A114,"SORENSEN,L",
PHYS 578,SEL TPC THRTCL PHYS,8620,A,3,MWF,1230,120,PAB,B405,"NELSON,A","CREDIT/NO CREDIT ONLY 
 CALL 543-2394 FOR INFO"
PHYS 580,PHYSICS COLLOQUIUM,6228,A,1,M,330,520,PAA,A102,"FORTSON,E",CREDIT/NO CREDIT ONLY
PHYS 581,SMNR HGH ENRGY PHYS,6229,A,VAR,T,400,550,PAA,A114,"WATTS,G",CREDIT/NO CREDIT ONLY
PHYS 582,SEM PARTICLE THEORY,6230,A,VAR,F,230,350,PAT,C421,"NELSON,A",CREDIT/NO CREDIT ONLY
ANTH 567,THEORY SC ANTH,1251,A,5,MTh,130,320,DEN,401,"KAHN,M",GRADS ONLY
PHYS 584,SMNR COHERENT SPECT,6231,A,VAR,T,130,320,PAT,C521,"DEHMELT,H",CREDIT/NO CREDIT ONLY
PHYS 585,SMNR EXP NUC PHYS,6232,A,VAR,TTh,230,350,PAB,B109,"TRAINOR,T","CREDIT/NO CREDIT ONLY 
 CALL PROF. SNOVER AT 206-543-4080 
 FOR INFO"
PHYS 586,SMNR CONDENSED MATT,6233,A,VAR,,,,,,,"CREDIT/NO CREDIT ONLY 
 CALL 206-543-8444 FOR DETAILS"
PHYS 587,SMNR NUCLEAR THEORY,,,,,,,,,,
PHYS 588,PRTCL ASTROPHYS SEM,6236,A,VAR,F,330,520,PAA,A110,"WILKES,R",CREDIT/NO CREDIT ONLY
PHYS 589,SEM PRB PHYSICS ED,6237,A,VAR,W,230,350,PAT,C211,"MC DERMOTT,L",CREDIT/NO CREDIT ONLY
PHYS 590,SMNR STAT PHYSICS,6238,A,1,W,1230,150,JHN,111,"DEN NIJS,M","CREDIT/NO CREDIT ONLY 
 SMNR IN STATISTICAL PHYS"
PHYS 600,INDEPNDNT STDY/RSCH,6239,A,1-10,,,,,,,"CREDIT/NO CREDIT ONLY 
 OBTAIN FACULTY CODE FROM PROJECT 
 INSTRUCTOR"
PHYS 800,DOCTORAL DISSERTATN,6240,A,1-10,,,,,,,"CREDIT/NO CREDIT ONLY 
 OBTAIN FACULTY CODE FROM PROJECT 
 INSTRUCTOR"
POL S 201,INTRO POL THEORY,,,,,,,,,,
ANTH 574,SOC CLTR IN PHG,1252,A,2,W,930,1120,HSI,I140,"MCGRATH,B","OFFERED JOINTLY WITH PHG 521 A 
 EMAIL KSCHUDA@U.WASHINGTON.EDU FO 
 ADD CODE"
POL S 202,INTRO TO AMER POL,,,,,,,,,,
POL S 203,INTRO INTERNATL REL,,,,,,,,,,
POL S 204,INTRO TO COMPAR POL,,,,,,,,,,
POL S 212,PHIL OF FEMINISM,,,,,,,,,,
POL S 273,CONCEPT OF POWER,8455,YA,5,TTh,430,650P,SAV,341,"LAVAQUE-MANTY,D","MEETS WRITING COURSE REQUIREMENT 
 EVE DEG STUDENTS ONLY (PD.1)"
POL S 304,AM PRESS & POLITICS,,,,,,,,,,
POL S 306,"MEDIA, SOC & POL ID",,,,,,,,,,
POL S 313,WOMEN IN POLITICS,6281,A,5,MW,130,320,RAI,121,"SIMPSON,A","OFFERED JOINTLY WITH WOMEN 313 A 
 POL S MAJORS ONLY (PD.1)"
POL S 316,AF-AM POL/SOC THT,6282,YA,5,MW,430,650P,SAV,243,"SIMPSON,A","EVE DEG STUDENTS ONLY (PD.1) 
 POLS E,SOCS E MAJORS ONLY (PD.1)"
POL S 321,AMER FOREIGN POLICY,,,,,,,,,,
ANTH 592,SMNR MUS SPEC DOC,1253,A,3,T,930,1220,BMM,112,"NASON,J",OFFERED JOINTLY WITH MUSEUM 592 A
POL S 325,ARAB-ISRL CONFLICT,6289,A,5,TTh,1230,220,SMI,304,"O MURCHU,N",POL S MAJORS ONLY (PD.1)
POL S 329,GLOBAL COMMUNICATN,8308,A,5,TTh,130,320,GUG,410,,"OFFERED JOINTLY WITH CMU 320 A 
 POL S MAJORS ONLY (PD.1) 
 ADD CODE REQUIRED (PD.3)"
POL S 330,CMU IN INTL RELS,6290,YA,5,MW,700,850P,CMU,104,"KASCHUBA,C","OFFERED JOINTLY WITH CMU 321 YA 
 EVE DEG STUDENTS ONLY (PD.1) 
 POLS E,SOCS E MAJORS ONLY (PD.1) 
 ADD CODE REQUIRED (PD.2&3)"
POL S 341,CANADA GOVT & POLIT,6291,A,5,MW,130,320,SMI,304,"JACKSON,W","OFFERED JOINTLY WITH SISCA 341 A 
 MEETS WRITING COURSE REQUIREMENT 
 NO FRESHMEN 
 POL S MAJORS ONLY (PD.1)"
POL S 343,POL & CHANGE-SEASIA,6292,A,5,MW,130,320,CMU,226,"CALLAHAN,M","OFFERED JOINTLY WITH SISSE 343 A 
 MEETS WRITING COURSE REQUIREMENT 
 POL S MAJORS ONLY (PD.1)"
POL S 350,AM INTEREST GROUPS,6293,A,5,MWF,1000,1120,CMU,326,"SMITH,M","MEETS WRITING COURSE REQUIREMENT 
 NO FRESHMEN 
 POL S MAJORS ONLY (PD.1) 
 ADD CODE REQUIRED (PD.3)"
POL S 356,SOCIETY & POLITICS,8306,YA,5,MW,700,920P,SAV,343,"CHUNG,W","OFFERED JOINTLY WITH SOC 356 YA 
 EVE DEG STUDENTS ONLY (PD.1)"
POL S 361,AM CIVIL LIBERTY,,,,,,,,,,
POL S 363,LAW IN SOCIETY,6302,A,5,MWF,1200,120,SAV,249,"MUSTAPPA,M","OFFERED JOINTLY WITH SO JU 363 A 
 NO FRESHMEN 
 POL S MAJORS ONLY (PD.1) 
 ADD CODE REQUIRED (PD.3)"
POL S 383,ENVIRON POLITICS,6303,YA,5,TTh,600,820P,SAV,317,"PRALLE,S","EVE DEG STUDENTS ONLY (PD.1) 
 POLS E,SOCS E MAJORS ONLY (PD.1)"
ANTH 600,INDEPNDNT STDY/RSCH,1254,A,1-10,,,,,,,
POL S 398,H-HONORS SEMINAR,6304,A,5,MW,130,320,SAV,326,"CAPORASO,J","MEETS WRITING COURSE REQUIREMENT 
 POL S HONOR STDS ONLY 
 PLUS ONE HR *"
POL S 401,POL THEORY TOPICS,6305,A,5,TTh,320,520,SAV,209,"HARTSOCK,N","SENIORS ONLY (PD.1) 
 POL S MAJORS ONLY (PD.1) 
 NO FRESHMEN (PD.2&3) 
 WOMEN & DEMOCRACY"
POL S 403,ADV TOPICS IN IR,6306,A,5,TTh,130,320,SMI,309,"CAPORASO,J","POL S MAJORS ONLY (PD.1) 
 "" THE POLITICAL ECONOMY OF THE 
 EUROPEAN UNION"""
POL S 404,SPECIAL TOPICS,,,,,,,,,,
POL S 405,AM POLITICS SEMINAR,,,,,,,,,,
POL S 409,UNDERG SEM-POL ECON,8213,A,5,MW,130,320,MEB,243,"LEVI,M","OFFERED JOINTLY WITH ECON 409 A 
 MEETS WRITING COURSE REQUIREMENT 
 POL S MAJORS ONLY 
 MUST BE ENROLLED IN POL S 409 
 THIS IS A CONTINUING COURSE: 
 PARTICIPATION IN POL S/ECON 409 
 DURING WINTER 2000 REQUIRED FOR 
 REGISTRATION IN POL S/ECON 409 IN 
 SPRING 2000."
POL S 417,POL ECON OF INDIA,8261,A,5,MW,1130,120,DEN,205,"VAN DYKE,V",OFFERED JOINTLY WITH SISSA 417 A
POL S 422,INTL ENVTL POLITICS,6313,A,5,MW,130,320,CMU,232,"LITFIN,K",POL S MAJORS ONLY (PD.1)
POL S 431,MIDDLE EAST - IR,6314,YA,5,TTh,530,750P,SAV,311,"BURROWES,R","EVE DEG STUDENTS ONLY (PD.1) 
 POLS E,SOCS E MAJORS ONLY (PD.1)"
POL S 447,COMP POLITICS SEM,6315,A,5,TTh,1230,220,SAV,311,"MC CRONE,D","MEETS WRITING COURSE REQUIREMENT 
 SENIORS ONLY (PD.1) 
 POL S MAJORS ONLY (PD.1) 
 DECIDING WHO WINS & WHO LOSES: 
 THE IMPACT OF ELECTORAL SYSTEMS 
 IN DEMOCRATIC POLITICAL SYSTEMS"
ARCH 420,STRUCTURAL DSGN I,1285,A,4,MWF,830,1020,GLD,442,"LEBERT,E","CAUP,ARCH,CM MAJORS ONLY"
ANTH 700,MASTERS THESIS,1255,A,1-10,,,,,,,CREDIT/NO CREDIT ONLY
POL S 449,DEVELOPING AREAS,6317,YA,5,MW,600,820P,SAV,245,"NAZEMI,N","EVE DEG STUDENTS ONLY (PD.1) 
 POLS E,SOCS E MAJORS ONLY (PD.1)"
POL S 450,3RD WORLD STATE SOC,6318,A,5,TTh,1130,120,GWN,201,"CALLAHAN,M","OFFERED JOINTLY WITH SIS 456 A 
 MEETS WRITING COURSE REQUIREMENT 
 POL S MAJORS ONLY (PD.1)"
POL S 452,PUBLIC OPINION,6319,YA,5,MW,430,620P,SAV,249,"DOMKE,D","OFFERED JOINTLY WITH CMU 442 YA 
 EVE DEG STUDENTS ONLY (PD.1) 
 POLS E,SOCS E MAJORS ONLY (PD.1)"
POL S 461,MASS MEDIA LAW,,,,,,,,,,
POL S 476,POLITICAL STRATEGY,6325,A,5,MW,1230,220,SMI,307,"WILKERSON,J","NO FRESHMEN 
 POL S MAJORS ONLY (PD.1)"
POL S 488,H-HONORS SR THESIS,6326,A,5,,,,,,,MEETS WRITING COURSE REQUIREMENT
POL S 489,H-HONORS SR THESIS,6327,A,5,,,,,,,MEETS WRITING COURSE REQUIREMENT
POL S 492,ADV POL RESEARCH,6328,A,5,M,130,420,EE1,003,"WARD,M","GRADS ONLY 
 GRAD METHODS CRS III"
POL S 496,INTERNSHIP,,,,,,,,,,
POL S 499,RESEARCH/READINGS,,,,,,,,,,
ANTH 800,DOCTORAL DISSERTATN,1256,A,1-10,,,,,,,CREDIT/NO CREDIT ONLY
POL S 515,POL THEORY RES SEM,8279,A,5,W,330,520,SMI,111,LA VAQUE-MAN,GRADS ONLY
POL S 528,ADV INTL REL THEORY,6336,A,5,T,130,420,EEB,318,"WARD,M",GRADS ONLY
POL S 542,SEM STATE & SOCIETY,6337,A,5,Th,230,420,THO,334,"MIGDAL,J","OFFERED JOINTLY WITH SIS 542 A 
 GRADS ONLY"
POL S 548,COMP POL PARTIES,6338,A,3,W,130,320,SAV,317,"GIVENS,T",GRADS ONLY
POL S 550,AMERICAN POLITICS,6339,A,5,T,130,420,BLM,305,"JONES,B",GRADS ONLY
POL S 553,PUBLIC OPINION,6340,A,5,W,130,320,BLM,415,"SMITH,M",GRADS ONLY
POL S 572,ADM & EXEC LEADRSHP,6341,U,3,Th,600,850P,PAR,305,"THOMPSON,R","OFFERED JOINTLY WITH PB AF 503 U 
 GRADS ONLY"
POL S 587,URBAN REFORM POL,6342,A,5,Th,130,320,PAR,313,"OLSON,D",GRADS ONLY
POL S 590,POL BEHAVIOR,6343,A,5,Th,330,620,THO,215,"BENNETT,W","OFFERED JOINTLY WITH CMU 518 A 
 GRADS ONLY 
 TRATEGIC COMMUNICATION CAMPAIGNS: 
 HOW INTEREST GROUPS MAKE NEWS & 
 SHAPE OPINION"
POL S 597,DIRECTED READINGS,6344,A,1-10,,,,,,,"CREDIT/NO CREDIT ONLY 
 GRADS ONLY"
ARCHY 205,PRINCIPLES OF ARCHY,1317,U,5,MW,700,920P,DEN,216,"CANNON,M",ADD CODE REQUIRED (PD.3)
POL S 598,INDEP WRITING I,6345,A,1-5,,,,,,,
POL S 599,INDEP WRITING II,6346,A,3-5,,,,,,,
POL S 600,RESEARCH/READINGS,,,,,,,,,,
POL S 800,DOCTORAL DISSERTATN,,,,,,,,,,
SO JU 275,MURDER,,,,,,,,,,
SO JU 310,RESEARCH IN SO/JU,6869,A,1-5,,,,,,,"CREDIT/NO CREDIT ONLY 
 SO JU MAJORS ONLY 
 SEE ADVISORS SMI 215 
 FOR CONTRACTS 7 INSTR CODES"
SO JU 363,LAW IN SOCIETY,6870,A,5,MWF,1200,120,SAV,249,"MUSTAPPA,M","OFFERED JOINTLY WITH POL S 363 A 
 NO FRESHMEN 
 ADD CODE REQUIRED (PD.3)"
SO JU 400,SO JU SEMINAR,8264,V,3,M,600,820P,SMI,115,"FEHR,L","MEETS WRITING COURSE REQUIREMENT 
 SENIORS ONLY 
 SO JU MAJORS ONLY"
SO JU 401,FIELD EXPERIENCE,6872,A,5,,,,,,,"CREDIT/NO CREDIT ONLY 
 SO JU MAJORS ONLY"
SO JU 440,CRIM LAW & PROCED,6873,YA,4,TTh,600,820P,SMI,115,"REDKEY,W","NO FRESHMEN 
 EVE DEG STUDENTS ONLY (PD.1) 
 POLS E,SOCS E,HIST E,SOC E MAJORS 
 ONLY (PD.1) 
 ADD CODE REQUIRED (PD.2&3)"
ARCHY 299,ARCHY LAB TECHNIQUE,,,,,,,,,,
SO JU 499,READINGS IN SO JU,6874,A,1-5,,,,,,,"CREDIT/NO CREDIT ONLY 
 SO JU MAJORS ONLY 
 SEE ADVISORS SMI215 
 FOR CONTRACTS & INSTR CODES"
PSYCH 101,PSYCH AS SOC SCI,,,,,,,,,,
PSYCH 102,PSYCH - NATURAL SCI,6390,A,5,MTWThF,1030,1120,GUG,224,"PHILLIPS,J","NO PSYCH MAJORS 
 ADD CODE REQUIRED (PD.3)"
PSYCH 200,COMP ANIM BEHAV,,,,,,,,,,
PSYCH 205,PERS & INDIV DIFFS,,,,,,,,,,
PSYCH 209,FDMNTLS PSYCH RSCH,,,,,,,,,,
PSYCH 210,HUMAN SEXUALITY,6419,A,5,MTWThF,130,220,KNE,130,"MC DERMOTT,L","NO FRESHMEN 
 ADD CODE REQUIRED (PD.3) 
 PERIOD III: ENTRY CODE CONTROLLED:"
PSYCH 213,ELEM PSYCH STAT,6420,A,6,TThF,1030,1220,MUE,153,"CALOGERO,M","PSYCH MAJORS ONLY 
 ADD CODE REQUIRED (PD.3)"
PSYCH 217,PSYCH PROB & STAT,,,,,,,,,,
PSYCH 218,STAT INFERENCE,,,,,,,,,,
ARCHY 303,OLD WORLD PREHIST,1320,A,5,MTWThF,1030,1120,THO,134,"VYAS,P",
PSYCH 222,SURV-PHYSIOL PSYCH,,,,,,,,,,
PSYCH 231,LAB HUMAN PERFORM,,,,,,,,,,
PSYCH 232,LAB ANIMAL LEARNING,,,,,,,,,,
PSYCH 233,LAB ANIMAL BEHAVIOR,6441,ZN,5,MWF,930,1120,HCK,444,"LOESCHE,P","MEETS WRITING COURSE REQUIREMENT 
 PSYCH MAJORS ONLY 
 DROP CODE REQUIRED (PD.3&4) 
 LAB FEE REQUIRED $20"
PSYCH 250,RACISM&MINORITY GRP,,,,,,,,,,
PSYCH 305,ABNORMAL PSYCHOLOGY,,,,,,,,,,
PSYCH 306,DEVELOPMENTAL PSYCH,,,,,,,,,,
PSYCH 333,SEN/PERCPT PROCESS,6462,YA,4,TTh,600,750P,GLD,322,"KNIGHT,R","EVE DEG STUDENTS ONLY (PD.1) 
 NO FRESHMEN (PD.2&3)"
PSYCH 335,HUMAN FACTORS,6463,A,4,TTh,830,1020,EEB,316,"KERR,F",ADD CODE REQUIRED (PD.3)
PSYCH 345,SOCIAL PSYCHOLOGY,,,,,,,,,,
ARCHY 304,NEW WORLD ARCHY,8457,YA,5,MW,530,750P,DEN,212,"MINICHILLO,T","MEETS WRITING COURSE REQUIREMENT 
 EVE DEG STUDENTS ONLY (PD.1)"
PSYCH 350,H-RSCH SEM IN PSYCH,6473,A,2,,,,,,,"OFFERED JOINTLY WITH PSYCH 450 A 
 MEETS WRITING COURSE REQUIREMENT 
 HONORS & DISTINCTION MJ ONLY"
PSYCH 400,LEARNING,6474,A,5,MTWThF,930,1020,MOR,225,"KNIGHT,E",PSYCH MAJORS ONLY (PD.1)
PSYCH 402,INFANT DEVELOPMENT,6475,YA,3-5,TTh,430,550P,CHL,015,"KIMPO,C","EVE DEG STUDENTS ONLY (PD.1) 
 NO FRESHMEN (PD.2&3)"
PSYCH 403,MOTIVATION,6476,A,5,MWF,130,250,AND,010,"COLDWELL,S",PSYCH MAJORS ONLY (PD.1)
PSYCH 410,CHLD/ADDL BEHAV DIS,6477,YA,5,MW,630,850P,CHL,036,"QUAMMA,J","EVE DEG STUDENTS ONLY (PD.1) 
 NO FRESHMEN (PD.2&3)"
PSYCH 414,COGNITIVE DEVLOPMNT,6478,A,5,MWF,1130,1250,GLD,435,"JOSLYN,S","PSYCH MAJORS ONLY (PD.1) 
 ADD CODE REQUIRED (PD.3)"
PSYCH 415,PERSONALITY DEVEL,6479,A,5,MWF,1130,1250,BNS,203,"CARLSON,S","PSYCH MAJORS ONLY (PD.1) 
 FRESHMEN & SOPH NEED PERM"
PSYCH 418,PRIMATE SOC BEHAV,6480,A,5,TTh,130,320,CHL,105,"LOCKARD,J","MEETS WRITING COURSE REQUIREMENT 
 GRADS,SENIORS,JUNIORS ONLY 
 DROP CODE REQUIRED (PD.3&4) 
 1 ADDT'L HR *"
PSYCH 419,ZOO ANIMAL BEHAVIOR,6481,A,5,TTh,230,420,NOC,*,"KIRKEVOLD,B","MEETS WRITING COURSE REQUIREMENT 
 NO FRESHMEN,SOPHMRS 
 ADD CODE REQUIRED (PD.3) 
 DROP CODE REQUIRED (PD.3&4) 
 PLUS 1 HR * 
 STUDENTS WHO WANT TO REQUEST AN 
 CODE CAN CONTACT INSTRUCTOR AT 
 685-0866, CHL 114"
PSYCH 426,NEUROBIOL LEARN&MEM,6482,A,4,MW,130,320,BNS,203,"JONES,T",PSYCH MAJORS ONLY (PD.1)
ARCHY 371,ANALYSIS ARCHY DATA,1321,A,5,TTh,130,420,DEN,115,"HAGSTRUM,M",ANTH MAJORS ONLY
PSYCH 430,BRAIN DEVELOPMENT,6483,A,4,TTh,130,320,GTH,057,"OLAVARRIA,J",PSYCH MAJORS ONLY (PD.1)
PSYCH 437,MOTOR DEVELOPMENT,6484,A,4,TTh,130,320,SMI,211,"SMOLL,F","OFFERED JOINTLY WITH PSYCH 560 Q 
 PSYCH MAJORS ONLY (PD.1) 
 ADD CODE REQUIRED (PD.3)"
PSYCH 448,SMNR IN PSYCHOLOGY,,,,,,,,,,
PSYCH 450,H-RSCH SMNR PSYCH,6487,A,2,,,,,,,"OFFERED JOINTLY WITH PSYCH 350 A 
 MEETS WRITING COURSE REQUIREMENT 
 SENIORS ONLY 
 PSYCH MAJORS ONLY 
 MEMBERS OF PSYCH & HONORS DISTINCT"
PSYCH 488,STRESS & COPING,6488,A,4,MW,1130,120,CHL,036,"SARASON,I","ADD CODE REQUIRED (PD.3) 
 PREREQ: 15 CREDITS IN PSYCH OR PERM"
PSYCH 489,CLINICAL PSYCHOLOGY,6489,A,3,MWF,130,220,SAV,341,"PARKER,C",PSYCH MAJORS ONLY (PD.1)
PSYCH 494,FLD STUDY-ANIM BEH,8590,A,2-3,,,,,,,"REGISTRATION LIMITED TO STUDENTS 
 ENROLLED IN THE INDONESIAN FIELD 
 STUDY PROGRAM. 
 SEE INSTRUCTOR FOR ENTRY CODE"
PSYCH 496,UNDERGRAD TEACH EXP,,,,,,,,,,
PSYCH 497,UNDERGRD FIELDWORK,6492,B,2-5,W,1230,150,AND,008,"BARRETT,K","CREDIT/NO CREDIT ONLY 
 JUNIORS,SENIORS ONLY 
 PSYCH MAJORS ONLY"
PSYCH 498,DIRECTED READING,,,,,,,,,,
ARCHY 465,CLTRL RESOURCE MNGT,1323,A,3,MW,330,450,DEN,209,"THOMPSON,G",
PSYCH 499,UNDERGRAD RESEARCH,,,,,,,,,,
PSYCH 504,BIOL DEVEL,6499,A,4,TTh,230,420,CHL,036,"BERNSTEIN,I",
PSYCH 515,MODELING DATA,6500,A,4,TTh,130,250,GLD,317,"RUDD,M",GRADS ONLY
PSYCH 519,STAT METHS-DEVEL,6501,A,3,TTh,300,420,EE1,025,"SACKETT,G","GRADS ONLY 
 PREREQ: PSYCH 514 OR EQUIV, OR GRAD 
 STANDING OR PERM OF INSTRUCTOR"
PSYCH 522,COGN PERCEPTION,6502,A,3,MW,1000,1120,CHL,036,"LOFTUS,G",GRADS ONLY
PSYCH 524,COGNITIVE MEMORY,6503,A,3,T,930,1120,CHL,105,"LOFTUS,E",GRADS ONLY
PSYCH 525,ASSMT OF INTELL,6504,A,5,MW,100,250,GA1,120,"LENGUA,L","OFFERED JOINTLY WITH PSYCH 535 A 
 GRADS ONLY 
 PSYCH MAJORS ONLY 
 CHILD CLINICAL PSYCH GRADS"
PSYCH 533,TEACHING PSYCHOLOGY,6505,A,3,MW,130,250,CHL,105,"PASSER,M","CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 PSYCH MAJORS ONLY"
PSYCH 535,APPRS PSYCH ASSMNT,6506,A,4,MW,100,250,GA1,120,MANGELSDORF,"OFFERED JOINTLY WITH PSYCH 525 A 
 GRADS ONLY 
 PSYCH MAJORS ONLY 
 CONCURR REG IN PSYCH 590 A REQ'D 
 REQUIRED FOR ALL PSYCH CLINICAL/ 
 CHILD-CLINICAL GRADS"
PSYCH 541,SMNR COGNITIVE PROC,6508,A,2,T,330,450,GTH,057,"LOFTUS,E","CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 PSYCH MAJORS ONLY 
 CURRENT RSCH LIT IN COGNITION"
ARCHY 466,ARCHY HONORS THESIS,1324,A,1-9,,,,,,,
PSYCH 542,SMNR ANIMAL BEHAVR,6509,A,2,F,330,450,GTH,121,"O'DONNELL,S","CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 PSYCH MAJORS ONLY 
 EC GTH 121"
PSYCH 543,SMNR DEVELOPMENTAL,6510,U,2,T,700,850P,NOC,*,"SACKETT,G","CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 SMNR IN PRIMATE DEVEL"
PSYCH 549,SMNR PHYSIOLOGICAL,6511,A,2,,,,,,,"CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 PSYCH MAJORS ONLY"
PSYCH 550,SMNR PSYCHOLINGSTCS,6512,A,2,M,230,350,GLD,317,"OSTERHOUT,L",CREDIT/NO CREDIT ONLY
PSYCH 552,SMNR QUANT TECH,,,,,,,,,,
PSYCH 553,SMNR SOCIAL PSYCH,6514,B,2,T,330,450,GLD,442,"BROWN,J","CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 PSYCH MAJORS ONLY 
 READINGS IN CONTEMP 
 SOCIAL PSYCH"
PSYCH 559,SMNR-VISION RSCH,6515,A,1,Th,1130,1250,AND,008,"BUCK,S","CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 EC GTH 233"
PSYCH 560,SEMINAR,,,,,,,,,,
PSYCH 575,MINORITY MNTL HLTH,6531,A,3,MW,230,350,GLD,117,"GEORGE,W","GRADS ONLY 
 PSYCH MAJORS ONLY"
PSYCH 589,ADV CLIN PRACTICUM,6532,A,4,,,,,,,"CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 PSYCH MAJORS ONLY 
 EC GTH 119A; CLINICAL PSYCH GRADS"
ARCHY 469,SPEC STUDIES ARCHY,8280,A,6,TTh,1030,1250,DEN,115,"BOVY,K","JUNIORS,SENIORS,GRADS ONLY (PD.1&2) 
 JUNIORS,SENIORS,GRADS ONLY (PD.3) 
 HUMAN OSTEOLOGY"
PSYCH 590,PRACT PSYCH ASSMT,6533,A,2,,,,,,,"GRADS ONLY 
 PSYCH MAJORS ONLY 
 CONCURR REGISTRATION IN PSYCH 535A"
PSYCH 593,CLINC PRACTICUM,,,,,,,,,,
PSYCH 596,BEHAVIOR CHANGE,6536,A,5,MW,830,1050,GA1,120,"KOHLENBERG,R","GRADS ONLY 
 PSYCH MAJORS ONLY 
 EC GA1 130"
PSYCH 597,FIELD WORK-CLINICAL,,,,,,,,,,
PSYCH 598,DIRECTED READING,,,,,,,,,,
PSYCH 599,DIR RESRCH PSYCH,6541,B,1-3,,,,,,,"CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 DIR RESRCH PSYCH"
PSYCH 600,INDEPNDNT STDY/RSCH,,,,,,,,,,
PSYCH 700,MASTERS THESIS,,,,,,,,,,
PSYCH 800,DOCTORAL DISSERTATN,,,,,,,,,,
FRENCH 101,ELEMENTARY,8296,A,5,MTWThF,930,1020,THO,331,"BECK,L",
ARCH 426,STRUCT UNIT MASONRY,1286,U,3,MW,530,650P,MOR,234,"TAWRESEY,J","OFFERED JOINTLY WITH CIVE 455 U 
 ARCH MAJORS ONLY"
ARCHY 477,ARCHY OF THE NORTH,8088,YA,5,TTh,430,650,DEN,212,"FITZHUGH,J","JUNIORS,SENIORS,GRADS ONLY 
 EVE DEG STUDENTS ONLY (PD.1) 
 ARCHAEOLOGY OF THE CIRCUMPOLAR 
 NORTH"
FRENCH 102,ELEMENTARY,,,,,,,,,,
FRENCH 103,ELEMENTARY,,,,,,,,,,
FRENCH 201,INTERMEDIATE,,,,,,,,,,
FRENCH 202,INTERMEDIATE,,,,,,,,,,
FRENCH 203,INTERMEDIATE,,,,,,,,,,
FRENCH 214,FRENCH FAIRY TALE,3613,A,5,MTWTh,930,1020,MUE,155,"DELCOURT,D",
FRENCH 227,INTERMED FRENCH CON,,,,,,,,,,
FRENCH 302,ADVANCED FRENCH,3615,A,5,MWF,1030,1150,THO,231,"HEDWIGE,M","MEETS WRITING COURSE REQUIREMENT 
 FRENCH MAJORS ONLY (PD.1) 
 ADD CODE REQUIRED (PD.3)"
FRENCH 303,ADVANCED FRENCH,,,,,,,,,,
FRENCH 306,FR LIT 1789-PRESENT,3618,A,3,MW,1030,1150,DEN,216,"RUBINO,N","MEETS WRITING COURSE REQUIREMENT 
 COURSE WILL BE CONDUCTED IN FRENCH"
ARCHY 481,ANALYS FAUNAL RMNS,1326,A,6,,,,,,,"SENIORS,GRADS ONLY"
FRENCH 327,ADV CONVERSATION,3621,C,2,TTh,1130,1220,THO,231,"PRETRE,A",
FRENCH 390,SUPERVISED STUDY,,,,,,,,,,
