note,course,title,credits,level,restrictions,section_note,section,days,start,end,bldg,rm,instructor,comments,text
,600-227,CALCULUS I WITH PHYSICS,4,U,; (NS) REPEATS MATH 226; REPEATS MATH 228 & 231 ONLY IF MATH 225 COMPLETED W/GRADE OF C OR BETTER. CONC REG PHYSICS 209 REQUIRED. PREREQ: C OR BETTER IN MATH 225(P),,Se 001,MWF TR,10:30am  11:30am,,EMS,E180 EMS,Key,"MUST ALSO ENROL IN 754-209, LECTURE 401, AND DISCUSSION 601 OR 602",
,600-231,CALCULUS AND ANALYTIC GEOMETRY,2or4,U,"; (NS) TWO CR ONLY FOR THOSE W/CR IN MATH 211. MATH 117 MAY BE TAKEN CONC BY STUDENTS W/MATH PLACEMENT TEST SCORE OF 35 OR W/GRADE OF B OR BETTER IN MATH 116 OR 211. REPEATS MATH 226, 227, & 228. PREREQ: MATH PLACEMENT LEVEL A ; ; NOTE DEPT POLICIES AT HEAD OF DEPT LISTING.",,,,,,,,,,
,600-232,CALCULUS AND ANALYTIC GEOMETRY,4,U,"; ; PREREQ: GRADE OF C OR BETTER IN MATH 226(P), 227(P), 228(P), OR 229(P); OR GRADE OF C OR BETTER IN MATH 231(P) & DEMONSTRATED PROFICIENCY IN TRIGONOMETRY [EITHER A MATH PLACEMENT TEST SCORE OF 40 OR GRADE OF C OR BETTER IN MATH 115(P) OR 117(P)] ; ; NOTE DEPT POLICIES AT HEAD OF DEPT LISTING.",,,,,,,,,,
,600-233,CALCULUS AND ANALYTIC GEOMETRY,4,U,; ; COUNTS AS REPEAT OF MATH 229. PREREQ: GRADE OF C OR BETTER IN MATH 232(P) ; ; NOTE DEPT POLICIES AT HEAD OF DEPT LISTING,,,,,,,,,,
,600-234,LINEAR ALGEBRA AND DIFFERENTIAL EQUATIONS,4,U,; ; PREREQ: GRADE OF C OR BETTER IN MATH 232(P) ; ; NOTE DEPT POLICIES AT HEAD OF DEPT LISTING,,,,,,,,,,
,600-241,SEMINAR: INTRODUCTION TO THE LANGUAGE AND PRACTICE OF MATHEMATICS,3,U,; ; SATISFIES L&S SEMINAR REQUIREMENT. PREREQ: MATH PLACEMENT LEVEL A ; ; NOTE DEPT POLICIES AT HEAD OF DEPT LISTING,,,,,,,,,,
,600-297,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
,600-313,LINEAR PROGRAMMING AND OPTIMIZATION,3,U/G,; ; PREREQ: JR ST; MATH 234(P),e,Se 001,TR,5:30pm,6:45pm,EMS,E145,Solomon,,
,600-320,INTRODUCTION TO DIFFERENTIAL EQUATIONS,3,U/G,; ; NO GRAD CR IN MATH SCI. PREREQ: JR ST; MATH 233(P) & MATH 234(P),,Se 001,TR,2:05pm,3:20pm,EMS,W129,Pinter,,
,103-867,SEMINAR IN CONTINUING EDUCATION IN THE PROFESSIONS,3,G,; ; PREREQ: GRAD ST; AD LDSP 667 OR CONS INSTR,,Se 101,,To be Arranged,,,,Daley,"ON-LINE COURSE; $1,100 BILLED SEPARATELY FROM OTHER TUITION  ADD'L SPECIAL COURSE FEE: $1100.0",
,600-321,VECTOR ANALYSIS,3,U/G,; ; PREREQ: JR ST; MATH 233(P); MATH 234(P) OR ELECENG 234(P),,Se 001,TR,2:05pm,3:20pm,CHM,197,Guilbault,,
#,600-371,INTRODUCTION TO STOCHASTIC MODELS IN FINANCE,3,U/G,"; ; PREREQ: JR ST; ONE OF THE FOLLOWING PAIRS: ECON 431(P) & 506(P), BUS AD 210(P) & 350(P), BUS AD 701(P) & 702(P), OR MATH 234(P) & 361(P), OR EQUIV; OR CONS INSTR",,Se 001,MW,8:30am,9:45am,EMS,E408,Klosek,,
,600-413,INTRODUCTION TO NUMERICAL ANALYSIS,3,U/G,; ; PREREQ: JR ST; MATH 233(C) & 234(C) ; ; ENROL IN LC 400 & EITHER LA 801 OR 802,,,,,,,,,,
,600-431,MODERN ALGEBRA WITH APPLICATIONS,3,U/G,; ; DOES NOT CARRY GRAD CR IN MATH SCI. PREREQ: JR ST; MATH 232(P),,Se 001,TR,11:05am,12:20pm,EMS,E170,Teply,,
,600-451,AXIOMATIC GEOMETRY,3,U/G,; ; DEPT PERMISSION NECESSARY FOR GRAD CR IN MATH SCI. PREREQ: JR ST; MATH 232(C),,Se 001,MW,2:00pm,3:15pm,EMS,E220,Moore,,
,600-497,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
,600-521,ADVANCED CALCULUS,3,U/G,"; ; PREREQ: JR ST; MATH 233(P), 234(P), & 241(P)",,Se 001,MW,1:30pm,2:45pm,PHY,230,Lee,,
,600-535,LINEAR ALGEBRA,3,U/G,"; ; PREREQ: JR ST; MATH 233(P), 234(P) & 241(P)",,Se 001,MW,12:00pm,1:15pm,EMS,E495,Zou,,
,600-571,INTRODUCTION TO PROBABILITY MODELS,3,U/G,; (472) PREREQ: JR ST; MATH 233(P); MATH 234(P) OR ELECENG 234(P); ONE COLLEGE LEVEL COURSE IN STATISTICS OR PROBABILITY,,Se 001,MW,3:00pm,4:15pm,EMS,E160,Key,,
,600-601,ADVANCED ENGINEERING MATHEMATICS I,3,U/G,; ; DOES NOT CARRY CR TOWARD MATH SCI MAJOR OR GRAD CR IN MATH SCI. PREREQ: JR ST; ELECENG 234(P) OR MATH 234(P),,Se 001,MWF,10:30am,,EMS,E220,Klosek,,
,103-882,PRACTICUM IN THE SCHOOL SUPERINTENDENCY,1,G,; ; REPEATABLE TO 3 CR. PREREQ: POSTMASTER'S ST; ADMIS TO DISTRICT ADMINISTRATOR CERT PROG; CONS INSTR,,,,,,,,,,
,600-631,MODERN ALGEBRA,3,U/G,; ; PREREQ: JR ST; MATH 234(P); MATH 531(P) OR CONS INSTR,,Se 001,TR,12:30pm,1:45pm,EMS,W129,Musson,,
,600-701,MATHEMATICAL METHODS IN PHYSICS AND ENGINEERING,3,G,"; ; PREREQ: GRAD ST; MATH 322(P), 522(P), OR 622(P); CONS INSTR",e,Se 001,MW,4:30pm,5:45pm,EMS,E495,Wade,,
,600-709,DIFFERENTIAL GEOMETRY,3,G,; ; PREREQ: GRAD ST; MATH 522(P) OR 622(P),,Se 001,MW,1:30pm,2:45pm,EMS,E408,Ancel,,
,600-711,THEORY OF FUNCTIONS OF A REAL VARIABLE,3,G,; ; PREREQ: GRAD ST; MATH 522(P) & 551(P); OR MATH 622(P),,Se 002,MW,10:30am,11:45am,EMS,E129,Volkmer,,
,600-713,THEORY OF FUNCTIONS OF A COMPLEX VARIABLE,3,G,; ; PREREQ: GRAD ST; MATH 522(P) OR 621(P),,Se 001,MW,3:00pm,4:15pm,PHY,144,Fan,,
,600-715,NUMERICAL ANALYSIS,3,G,; ; PREREQ: GRAD ST; MATH 413(P); 521(P) OR 621(P),,Se 001,TR,9:30am,10:45am,EMS,W110,Lin,,
,600-726,INTRODUCTION TO FUNCTIONAL ANALYSIS,3,G,; ; PREREQ: GRAD ST; MATH 522(P) OR 622(P),,Se 001,TR,2:00pm,3:15pm,EMS,E495,McLeod,,
,600-731,ABSTRACT ALGEBRA,3,G,; ; PREREQ: GRAD ST; MATH 632(P); CONS INSTR,,Se 001,TR,12:30pm,1:45pm,EMS,E220,Bell,,
,600-753,INTRODUCTION TO ALGEBRAIC TOPOLOGY,3,G,; ; PREREQ: GRAD ST; MATH 632(P); MATH 551(P) OR 751(P) OR CONS INSTR,,Se 001,TR,11:05am,12:20pm,EMS,E495,Arnold,,
,600-781,ITERATED MAPS AS DYNAMICAL SYSTEMS,3,G,; ; PREREQ: GRAD ST; MATH 711(P) OR CONS INSTR,,Se 001,MW,12:00pm,1:15pm,EMS,E160,Brucks,,
,106-100,BLACK REALITY: SURVEY OF AFRICAN-AMERICAN SOCIETY,3,U,; (HU&) PREREQ: NONE,,,,,,,,,,
,600-799,SEMINAR IN MATHEMATICS:,3-Jan,G,; ; RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. PREREQ: GRAD ST & CONS INSTR,,,,,,,,,,
,600-819,ADVANCED PARTIAL DIFFERENTIAL EQUATIONS,3,G,; ; PREREQ: GRAD ST; MATH 719(P),,Se 001,MWF,8:30am,,EMS,E160,Milani,,
,600-841,ADVANCED TOPICS IN ALGEBRA:,3,G,; ; RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. PREREQ: GRAD ST; MATH 732(P); CONS INSTR,,Se 001,TR,9:30am,10:45am,EMS,E129,Zou,,
,601-215,ELEMENTARY STATISTICAL ANALYSIS,3,U,"; (NS) PREREQ: MATH PLACEMENT LEVEL B, AB, OR A",,,,,,,,,,
,601-361,"INTRODUCTION TO MATHEMATICAL STATISTICS, I",3,U/G,"; ; NOT RECOM FOR GRAD STUDENTS IN MATH, OR STUDENTS NOT PLANNING TO TAKE 362. PREREQ: JR ST; MATH 233(P)",,Se 001,MWF,8:30am,,PHY,144,Stockbridge,,
#,601-461,DATA ANALYSIS AND GRAPHING USING SAS-I,2,U,"; ; DOES NOT COUNT TOWARD MATH SCI MAJOR. PREREQ: MTHSTAT 215(P), 362(P), 465(P), 467(P), BUS AD 210(P), OR ECON 210(P)",,Se 001,TR,12:00pm,1:40pm,EMS,E425,Ghorai,8 WKS BEGINNING WEEK OF 09/05,
,601-462,DATA AND GRAPHING USING SAS-II,2,U,; ; DOES NOT COUNT TOWARD MATH SCI MAJOR. PREREQ: MTHSTAT 461(P) OR CONS INSTR,,Se 001,TR,12:00pm,1:40pm,EMS,E425,Ghorai,7 WKS BEGINNING WEEK OF 10/30,
,601-562,DESIGN OF EXPERIMENTS,3,U/G,; ; PREREQ: JR ST; MTHSTAT 362(P) & MATH 535(P),,Se 001,MW,12:00pm,1:15pm,PHY,144,Beder,,
,601-761,MATHEMATICAL STATISTICS,3,G,; ; PREREQ: GRAD ST; MATH 522(C) OR 622(C),,Se 001,MW,1:30pm,2:45pm,EMS,E129,Brazauskas,,
,612-150,HOW THINGS WORK: UNDERSTANDING TECHNOLOGY,3,U,; (NS+) PREREQ: NONE ; ; ENROL IN LC 401 & ANY LA 801-805. LAB 804 & 805 OPEN TO CEAS STUDENTS ONLY.,,,,,,,,,,
,106-102,SURVEY OF AFRICAN-AMERICAN LITERATURE,3,U,; (HU&) PREREQ: NONE,,,,,,,,,,
,612-301,BASIC ENGINEERING THERMODYNAMICS,3,U,; ; PREREQ: MATH 233(P) & PHYSICS 209(P),,,,,,,,,,
,612-302,APPLIED ENGINEERING THERMODYNAMICS,3,U,; ; PREREQ: MECHENG 301(P),,Se 001,MWF,12:30pm,,EMS,E295,Reisel,,
,612-311,INTRODUCTION TO HEAT TRANSFER,3,U,"; ; NOT OPEN FOR CR TO STUDENTS WHO HAVE COMPLETED MECHENG 321(ER). PREREQ: MECHENG 301(P) OR EQUIV, CIV ENG 202(P) OR EQUIV; ELECENG 234(P) ; ; ENROL IN LC 401 & DS 601",,,,,,,,,,
,612-320,INTRODUCTION TO FLUID MECHANICS,3,U,; ; PREREQ: MECHENG 301(C); ELECENG 234(P) & CIV ENG 202(P),,,,,,,,,,
,612-321,BASIC HEAT TRANSFER,3,U,; ; NOT OPEN FOR CR TO STUDENTS WHO HAVE COMPLETED MECHENG 311(ER). PREREQ: MECHENG 301(P) & 320(P) ; ; ENROL IN LC 401 & DS 601,,,,,,,,,,
#,612-337,MECHANICAL ENGINEERING EXPERIMENTATION,3,U,; ; PREREQ: ELECENG 302(P) & MECHENG 321(P),,,,,,,,,,
,612-360,MECHANICAL DESIGN I,3,U,"; ; PREREQ: IND ENG 101(P), COMPSCI 151(P), & CIV ENG 202(P)",,Se 001,TR,9:30am,10:45am,EMS,E225,Chee,,
,612-365,MECHANICAL DESIGN II,3,U,; ; PREREQ: IND ENG 101(P) & 210(P); MATLENG 201(P); COMPSCI 151(P); CIV ENG 202(P) & 303(P) ; ; ENROL IN LC 401 & DS 601,,,,,,,,,,
,612-370,COMPUTER AIDED ENGINEERING LABORATORY,3,U,"; (460) PREREQ: IND ENG 101(P) & 210(P), COMPSCI 151(P), CIV ENG 202(P) & 303(P), & ELECENG 234(P)",e,Se 001,TR,5:30pm,6:45pm,EMS,E250,Beller,,
,612-394,DESIGN PROJECTS IN MECHANICAL ENGINEERING,3,U,"; ; PREREQ: IND ENG 360(C); MECHENG 302(P), 321(P), 360(P), 365(P) & 370(C)",,,,,,,,,,
,106-111,INTRODUCTION TO AFRICAN-AMERICAN HISTORY TO 1865,3,U,; (SS&) PREREQ: NONE,,,,,,,,,,
#,612-396,SENIOR DESIGN PROJECT,3,U,"; ; PREREQ: IND ENG 360(C); MECHENG 302(P), 321(P), 360(P), 365(P), & 370(P)",,Se 001,TR,9:30am,10:45am,EMS,E237,Booth,,
,612-432,INTERNAL COMBUSTION ENGINES,3,U/G,; ; PREREQ: JR ST; MECHENG 302(P),,Se 001,MWF,10:30am,,EMS,W130,Reisel,,
,612-461,INTERMEDIATE KINEMATICS AND DYNAMICS,3,U/G,; ; PREREQ: JR ST; MECHENG 360(P),,Se 001,MWF,11:30am,,EMS,E237,Kohli,,
,612-463,INTRODUCTION TO FINITE ELEMENTS,3,U/G,"; ; NOT OPEN TO STUDENTS WITH CR IN CIV ENG 463(ER). PREREQ: ELECENG 234(P), CIV ENG 303(P); MECHENG 320(C), 311(C) OR 321(C) ; ; JOINTLY OFFERED WITH CIV ENG 463",e,Se 001,MW,7:30pm,8:45pm,EMS,E150,Rahman,,
,612-474,INTRODUCTION TO CONTROL SYSTEMS,3,U/G,; ; PREREQ: JR ST; MECHENG 370(P) ; ; ENROL IN LC 401 & ANY LA 801-804,,,,,,,,,,
,612-490,TOPICS IN MECHANICAL ENGINEERING:,3-Jan,U/G,; ; MAY BE RETAKEN WITH CHANGE IN TOPIC TO MAX OF 9 CR. PREREQ: JR ST & CONS INSTR,,,,,,,,,,
,612-712,CONVECTION HEAT AND MASS TRANSFER,3,G,; ; PREREQ: GRAD ST; MECHENG 311(P) OR 321(P),e,Se 001,W,5:30pm,8:10pm,EMS,W119,Jen,,
,612-722,ADVANCED FLUID MECHANICS,3,G,; ; PREREQ: GRAD ST; MECHENG 320(P),e,Se 001,M,4:30pm,7:10pm,EMS,E160,Amano,,
,612-760,DYNAMIC PROBLEMS IN DESIGN,3,G,; ; PREREQ: GRAD ST; MECHENG 360(P),e,Se 001,W,6:30pm,9:10pm,EMS,W109,"Kim, K",,
,612-762,MECHANICAL SYSTEMS ANALYSIS,3,G,; ; PREREQ: GRAD ST; MECHENG 365(P),e,Se 001,M,4:30pm,7:10pm,EMS,E169,Dhingra,,
,106-112,"INTRODUCTION TO AFRICAN-AMERICAN HISTORY, 1865 TO THE PRESENT",3,U,; (SS&) PREREQ: NONE,,Se 001,TR,12:30pm,1:45pm,MIT,361,Van Horne,,
,612-890,ADVANCED TOPICS IN MECHANICAL ENGINEERING:,3-Jan,G,; ; MAY BE REPEATED WITH CHANGE IN TOPIC TO MAX OF 9 CR. PREREQ: GRAD ST; CONS INSTR,e,Se 001,R,4:30pm,7:10pm,EMS,W101,Shiu,"TOPIC: ENERGY TRANSPORT IN MICROSCALE SYSTEM  3 CR  PREREQ: GRAD ST, MECHENG 301, 320 OR EQUIV",
,660-001,THEORY FUNDAMENTALS,2,U,; ; PREREQ: MUSIC MAJOR OR CONS INSTR,,Se 001,TR,8:30am,,MUS,320,Nelson-Raney,,
,660-030,UNIVERSITY BAND,1,U,; ; MUSIC 030 & 031 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: MUSIC MAJOR,,La 960,MW,3:30pm,5:00pm,MUS,180,Alexander,,
,660-031,UNIVERSITY BAND,2,U,; (A) MUSIC 030 & 031 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: NON-MUSIC MAJOR,,La 960,MW,3:30pm,5:00pm,MUS,180,Alexander,,
,660-040,SYMPHONY BAND,1,U,"; ; MUSIC 040 & 041 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: MUSIC MAJOR, AUDITION; & CONS INSTR",,La 961,MF R,1:30pm  3:30pm,5:20pm,MUS,180 MUS,Dvorak,,
,660-041,SYMPHONY BAND,2,U,; (A) MUSIC 040 & 041 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: NON-MUSIC MAJOR; AUDITION; & CONS INSTR,,La 961,MF R,1:30pm  3:30pm,5:20pm,MUS,180 MUS,Dvorak,,
,660-042,WIND ENSEMBLE,1,U,; ; MUSIC 042 & 043 'WIND ENSEMBLE' MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: MUSIC MAJOR; AUDITION; & CONS INSTR,,La 962,MF W,2:30pm  1:30pm,3:20pm,MUS,180 MUS,Dvorak,,
,660-043,WIND ENSEMBLE,2,U,; ; MUSIC 042 & 043 'WIND ENSEMBLE' MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: NON-MUSIC MAJOR; AUDITION; & CONS INSTR,,La 962,MF W,2:30pm  1:30pm,3:20pm,MUS,180 MUS,Dvorak,,
,660-044,UNIVERSITY CHOIR,1,U,; ; MUSIC 044 & 045 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: MUSIC MAJOR; CONS INSTR; AUDITION,,La 963,MWF,1:30pm,,MUS,280,"Hansen, G",AUDITIONS WILL BE HELD THE FIRST WEEK OF THE SEMESTER,
,660-045,UNIVERSITY CHOIR,2,U,; (A) MUSIC 044 & 045 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: NON-MUSIC MAJORS; CONS INSTR; AUDITION,,La 963,MWF,1:30pm,,MUS,280,"Hansen, G",AUDITIONS WILL BE HELD THE FIRST WEEK OF THE SEMESTER,
,106-121,INTRODUCTION TO AFRICAN-AMERICAN POLITICS,3,U,; (SS&) PREREQ: NONE,e,Se 001,W,6:30pm,9:10pm,HLT,G90,Gordon,,
#,660-052,WOMEN'S CHORUS,1,U,; ; VOICE PLACEMENTS 1ST WK EACH SEM. MUSIC 052 & 053 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: MUSIC MAJOR; CONS INSTR; AUDITION,,La 901,MWF,3:30pm,,MUS,280,"Hansen, G",AUDITIONS WILL BE HELD THE FIRST WEEK OF THE SEMESTER,
#,660-053,WOMEN'S CHORUS,2,U,; (A) VOICE PLACEMENTS 1ST WK EACH SEM. MUSIC 052 & 053 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: NON-MUSIC MAJOR; CONS INSTR; AUDITION,,La 901,MWF,3:30pm,,MUS,280,"Hansen, G",AUDITIONS WILL BE HELD THE FIRST WEEK OF THE SEMESTER,
,660-056,CONCERT CHORALE,1,U,; ; MUSIC 056 & 057 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: MUSIC MAJOR; AUDITION; & CONS INSTR,,La 964,MWF,2:30pm,,MUS,280,"Hansen, S",AUDITIONS WILL BE HELD THE FIRST WEEK OF THE SEMESTER,
,660-057,CONCERT CHORALE,2,U,; (A) MUSIC 056 & 057 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: NON-MUSIC MAJOR; AUDITION; & CONS INSTR,,La 964,MWF,2:30pm,,MUS,280,"Hansen, S","FOR GOSPEL CHOIR, SEE 660-280 SE 003 OR 660-680 SE 003. AUDITIONS WILL BE HELD THE FIRST WEEK OF THE  SEMESTER",
#,660-058,MADRIGAL SINGERS,1,U,; (A) MUSIC 058 & 059 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: MUSIC MAJOR; CONS INSTR; AUDITION,,La 901,MW,12:30pm,,MUS,280,"Hansen, S",MUST ENROL CONC IN CONCERT CHORALE (660-056 OR 660-057) OR WOMEN'S CHORUS (660-052). AUDITIONS WILL  BE HELD THE FIRST WEEK OF THE SEMESTER,
,660-059,MADRIGAL SINGERS,2,U,; (A) MUSIC 058 & 059 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: NON-MUSIC MAJOR; CONS INSTR; AUDITION,,La 901,MW,12:30pm,,MUS,280,"Hansen, S",MUST ENROL CONC IN CONCERT CHORALE (660-056 OR 660-057) OR WOMEN'S CHORUS (660-052). AUDITIONS WILL  BE HELD THE FIRST WEEK OF THE SEMESTER,
#,660-062,GOSPEL CHOIR,1,U,; (A) MAY BE RETAKEN TO MAX OF 10 SEM. PREREQ: CONS INSTR; AUDITION,e,La 901,M,7:00pm,8:30pm,MUS,280,"Hansen, S",AUDITIONS WILL BE HELD THE FIRST WEEK OF THE SEMESTER,
,660-082,SYMPHONY ORCHESTRA,2,U,; (A) MUSIC 182 & 082 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: NON-MUSIC MAJOR; AUDITION; & CONS INSTR,,La 973,TR F,1:30pm,3:20pm  3:30pm,MUS,180 MUS,Deutsch,,
,660-083,CHAMBER ORCHESTRA,2,U,; ; FOR NON-MUSIC MAJORS WHO MEET AUDITION REQUIREMENTS. MAY BE RETAKEN FOR CR BUT NOT TO EXCEED 16 CR (8 SEM). PREREQ: CONS INSTR; NON-MUSIC MAJORS ONLY,,La 901,W,3:30pm,5:20pm,MUS,150,Deutsch,"ADDITIONAL PREREQ: OPEN ONLY TO NON-MUSIC MAJORS, STRINGS. AUDITIONS WILL BE HELD THE FIRST WEEK OF  THE SEMESTER",
,660-100,INTRODUCTION TO MUSIC LITERATURE,3,U,; (A) PREREQ: NONE,,Se 001,TR,9:30am,10:45am,MUS,175,Thompson,,
,106-192,FRESHMAN SEMINAR:,3,U,; (HU) OPEN ONLY TO FRESHMEN. RETAKABLE W/CHG IN TOPIC TO 6 CR MAX. SATISFIES L&S SEMINAR REQUIREMENT. PREREQ: NONE,,Se 001,MW,11:05am,12:20pm,HLT,G88,Kirk,TOPIC: THE ORIGINS OF THE CIVIL RIGHTS MOVEMENT AND BEYOND,
,660-101,FUNDAMENTALS OF MUSIC,3,U,; (A) NOT ACCEPTED AS PART OF A MUSIC MAJOR. PREREQ: NONE,,,,,,,,,,
,660-102,AMERICAN POPULAR MUSIC,3,U,; (A) PREREQ: NONE,,Se 001,TR,11:00am,12:15pm,MUS,175,"Schmid, W","FEATURES MUSICAL STYLE SUB-FOCUS SECTIONS IN BLUES, ROCK, JAZZ, ETC.",
,660-107,MUSIC CONVOCATION,1@,U,; ; @ ENROL FOR 1 CR; FEE FOR 1 CR ASSESSED. STUDENT SCHEDULE WILL SHOW 1N CR. THIS WILL BE CHANGED TO 0 CR ON GRADE REPORT & PERMANENT RECORD. PREREQ: MUSIC MAJORS ONLY,,Se 001,F,12:30pm,,MUS,175,Thompson,,
,660-108,THE CONCERT EXPERIENCE,2,U,; (A) MAY NOT BE USED AS PART OF THE MUSIC REQUIREMENTS FOR MUSIC MAJORS. PREREQ: NONE,,Se 001,W F,12:30pm  12:30pm,,MUS,320 MUS,Thompson,,
,660-120,COMPOSITION COLLOQUIUM,1@,U,; ; @ ENROL FOR 1 CR; FEE FOR 1 CR ASSESSED. STUDENT SCHEDULE WILL SHOW 1N CR; THIS WILL BE CHANGED TO 0 CR FOR GRADE REPORT & PERMANENT RECORD. MAY BE RETAKEN; 4 SEM MINIMUM REQUIRED FOR COMPOSITION MAJORS. PREREQ: MUSIC MAJOR OR CONS INSTR,,Se 001,,To be Arranged,,,,Welstead,,
,660-123,AURAL THEORY I,1,U,; ; PREREQ: THEORY PLACEMENT EXAM; MUSIC MAJOR; & MUSIC 001(P) OR EQUIV ; ; MUST ENROL CONC IN SAME SE OF MUSIC 125 & 127,,,,,,,,,,
,660-124,AURAL THEORY II,1,U,; ; PREREQ: MUSIC 123(P) OR EQUIV ; ; MUST ENROL CONC IN SAME SE OF MUSIC 126 & 128,,,,,,,,,,
,660-125,KEYBOARD HARMONY I,1,U,; ; PREREQ: THEORY PLACEMENT EXAM; MUSIC MAJOR; & MUSIC 001(P) OR EQUIV ; ; MUST ENROL CONC IN SAME SE OF MUSIC 123 & 127,,,,,,,,,,
,660-126,KEYBOARD HARMONY II,1,U,; ; PREREQ: MUSIC 125(P) OR EQUIV ; ; MUST ENROL CONC IN SAME SE OF MUSIC 124 & 128,,,,,,,,,,
,660-127,MATERIALS OF THEORY I,1,U,; ; PREREQ: THEORY PLACEMENT EXAM; MUSIC MAJOR; & MUSIC 001(P) OR EQUIV ; ; MUST ENROL CONC IN SAME SE OF MUSIC 123 & 125,,,,,,,,,,
#,216-330,ORGANIZATIONS,3,U,; ; PREREQ: JR ST ; ; ENROL IN LC 401 & ANY DS 601-608; OR ENROL IN LC 402; OR ENROL IN LC 403,,,,,,,,,,
,106-210,THE AFRICAN-AMERICAN NOVEL,3,U,; (HU&) PREREQ: SOPH ST,,Se 001,MWF,9:30am,,MIT,361,Ritacca,,
,660-128,MATERIALS OF THEORY II,2,U,; ; PREREQ: MUSIC 127(P) OR EQUIV ; ; MUST ENROL CONC IN SAME SE OF MUSIC 124 & 126,,,,,,,,,,
,660-140,CLASS VOICE,2-Jan,U,; (A) MAY BE RETAKEN TO MAX OF 4 CR. PREREQ: SOME KNOWLEDGE OF MUSIC HELPFUL BUT NOT REQUIRED; CONS INSTR ; (343) ;,,,,,,,,,,
,660-150,BEGINNING GUITAR,3,U,; (A) MAY BE RETAKEN TO MAX OF 6 CR. PREREQ: NONE ; (345) ;,,,,,,,,,,
,660-151,INTERMEDIATE GUITAR,3,U,; (A) MAY BE RETAKEN TO MAX OF 6 CR. PREREQ: MUSIC 150(345)(P); OR CONS INSTR ; (346) ;,,La 801,MW,11:00am,12:15pm,MUS,180,Belfer,,
,660-182,SYMPHONY ORCHESTRA,1,U,; ; MUSIC 182 & 082 MAY BE RETAKEN TO COMBINED MAX OF 10 SEM. PREREQ: MUSIC MAJOR; AUDITION; & CONS INSTR,,La 973,TR F,1:30pm,3:20pm  3:30pm,MUS,180 MUS,Deutsch Deutsch,,
,660-183,CHAMBER ORCHESTRA,1,U,; ; PREREQ: MUSIC MAJORS ONLY; AUDITION; CONS INSTR,,La 901,W,3:30pm,5:20pm,MUS,150,Deutsch,"ADDITIONAL PREREQ: OPEN ONLY TO MUSIC MAJORS, STRINGS. AUDITIONS WILL BE HELD THE FIRST WEEK OF THE  SEMESTER",
,660-211,GENERAL HISTORY OF WESTERN MUSIC I,3,U,; ; PREREQ: SOPH ST & 2 SEM OF MUSIC THEORY ; ; ENROL IN SECTION 001 & EITHER DS 601 OR 602,,,,,,,,,,
,660-220,INTRODUCTION TO COMPUTERS AND MUSIC,3,U,; ; PREREQ: MUSIC MAJOR; PREVIOUS EXPERIENCE IN COMPUTERS & MUSIC; OR CONS INSTR,e,Se 001,W,4:30pm,7:10pm,MUS,270,Yannay,,
,660-225,MATERIALS OF THEORY III,2,U,"; ; CONC REG MUSIC 226 & 227. PREREQ: MUSIC 124(P), 126(P), & 128(P)",,,,,,,,,,
,660-226,AURAL THEORY III,1,U,"; ; CONC REG MUSIC 225 & 227. PREREQ: MUSIC 124(P), 126(P), & 128(P)",,,,,,,,,,
,106-215,INTRODUCTION TO BLACK SOCIAL AND CULTURAL TRADITIONS,3,U,; (SS&) PREREQ: NONE,,Se 001,TR,2:05pm,3:20pm,MIT,361,Aborampah,,
