code,title,credits,comments,section_num,days,start_time,end_time,building,room,instructor
ARTS 346,COLOR PHOTOGRAPHY IV,3.00,"* DISTRIBUTION COURSE: GROUP I
See Arts 345.",,,,,,,
SPAN 416,TRANSLATION II,3.00,"* DISTRIBUTION COURSE: GROUP I
Intensive practice in Spanish-English, English-Spanish translation.
Introduction to the techniques of consecutive and simultaneous
interpretation. Lab work required.
Prereq-Span 311 or equivalent.
Continuation of Span 415.",001,MWF,10:00AM,10:50AM,HB,423,"Perez, J."
SPAN 422,SPECIAL TOPICS,3.00,"Hispanic literature, Hispanic linguistics, and Hispanic culture and
civilization. Reserved for qualified juniors and seniors who are
particularly interested in a topic not covered in other courses.
Prereq- permission of the department.",,,,,,,
SPAN 424,LINGUISTIC STRUCTURE OF SPAN,3.00,"A sychronic study of modern Spanish morphology and syntax. Special
attention given to Hispanic-American variants.
Also offered as LING 423.",001,MWF,01:00PM,01:50PM,PL,120,"Urrutibeheity, H"
SPAN 426,WOMEN AND GENDER IN MEDIEVAL IBERIA,3.00,"* DISTRIBUTION COURSE: GROUP I
Comparative introduction and analysis of the different cultures of
Iberian Middle Ages and the role of gender in literary genres.
Exploration of the ways in which women have been represented in
11th-15th centuries. Some of the main topics will be (homo)eroticism,
motherood, and prostitution. Also offered as WGST 426.",001,TTH,01:00PM,02:20PM,FL,528,"Merida-Jimenez, Rafael"
SPAN 504,LINGUISTIC STRUCTURE OF SPAN,3.00,See Span 424.,001,MWF,01:00PM,01:50PM,PL,120,"Urrutibeheity, H"
SPAN 542,MODERN SPANISH LITERATURE,3.00,Graduate version of Span 342.,001,MWF,11:00AM,11:50AM,PL,119,"Perez, J."
SPAN 556,STUDIES IN SPANISH AMER LIT,3.00,See Span 406.,001,T,02:30PM,05:00PM,RH,107,"Rea, Joan"
SPAN 592,INDEPENDENT STUDY,3.00,,,,,,,,
SPAN 702,RESEARCH LEADING TO CANDIDACY,1.00,"Topics in Spanish and Latin American Literary theory and Spanish
Linguistics. To be taken after a student has completed departmental
course requirements for the Master's, and before being admitted to
candidacy.",,,,,,,
SPAN 802,THESIS RESEARCH,1.00,,,,,,,,
ARTS 366,SCULPTURE I,3.00,"* DISTRIBUTION COURSE: GROUP I
See Arts 365.",001,MW,09:00AM,12:00PM,SH,260,"Smith, George"
STAT 280,ELEMENTARY APPLIED STATISTICS,4.00,"* RESTRICTED DISTRIBUTION COURSE: GROUP III
A noncalculus introduction to statistical methods with emphasis on
techniques. Includes computer laboratory.",,,,,,,
STAT 300,MODEL BUILDING,3.00,"* DISTRIBUTION COURSE: GROUP III
Examples to illustrate mathematical formulation (modeling) of scientific
problems, their solution and interpretation.
Prereq- Math 211 or consent of instructor.",001,TTH,09:25AM,10:40AM,,,"Kimmel, Marek"
STAT 305,INTRO TO STATISTICS FOR BIOS.,4.00,"* DISTRIBUTION COURSE: GROUP III
An introduction to statistics for Biosciences with emphasis on
statistical models and data analysis techniques. Computer-assisted data
analysis, including biological examples, is explored in laboratory
sessions.
Prereq- Math 101, 102.",,,,,,,
STAT 310,PROBABILITY AND STATISTICS,3.00,"Probability theory and the central concepts and methods of statistics.
Prereq- Math 102; Math 212 is recommended.
Also offered as Econ 382.",001,TTH,01:00PM,02:20PM,DH,1064,"Andersson, Anders"
STAT 381,INTRO TO APPLIED PROBABILITY,3.00,"Concepts, interpretations, elementary techniques, and applications of
modern probability theory.
Prereq- Math 102.",001,TTH,09:25AM,10:40AM,DH,1075,"Olofsson, Peter"
STAT 410,INTRO STAT COMPUT AND REGRESSION,3.00,"A survey of statistical methods with emphasis on computing and computing
environments, focusing on applied regression.
Prereq- Stat 310 or consent of instructor.",,,,,,,
STAT 421,INTRO TO TIME SERIES ANALYSIS,3.00,"Time series modeling and forecasting.
Prereq- Stat 310 or consent of instructor.
Also offered as Elec 432.",001,TTH,10:50AM,12:05PM,DH,1046,"Ensor, Katherine"
STAT 450,PRACTICUM IN STATISTICS,3.00,"Prereq- Stat 310, and one of 305, or 410, 421, 431 or 432 required.",001,MW,09:00AM,09:50AM,DH,1046,"Baggett, Larry"
STAT 486,MARKET MODULS,3.00,"This course takes the classical efficient market models and superimposes
upon it models for other stochastic phenomena not generally accounted
for in efficient market theory. It shows how risk can be lessened by
portfolios and other mechanism. It discusses reasons why the
Black-Scholes option pricing model (which won the 1997 Nobel Prize in
Economics) is fragile to departures from efficient market theory. The
course is oriented toward using computer simulations as an alternative
to closed form solutions. Requirements: STAT 305, 310 or near
equivalent.",001,TTH,10:50AM,12:05PM,DH,1042,"Thompson, James"
STAT 491,INDEPENDENT STUDY,1.00,,,,,,,,
ARTS 391,SPECIAL PROBLEMS: DRAWING,1.00,,,,,,,,
STAT 503,TOPICS IN METH AND DATA ANALYSIS,3.00,See Poli 503 schedule.,001,TTH,10:50AM,12:05PM,BB,283,"Brace, Paul"
STAT 510,ADV PSYCHOLOGICAL STATISTICSII,3.00,"See Psyc 503 for schedule.
Also offered as Psyc 503.",,,,,,,
STAT 532,MATHEMATICAL STATISTICS,3.00,"Same as Stat 432 with advanced problem sets. Required for graduate
students in statistics.
Prereq- Stat 531.",001,TTH,02:30PM,03:50PM,HB,423,"Andersson, Anders"
STAT 542,SIMULATION,3.00,Prereq- Stat 431 or consent of instructor. Not offered every year.,001,TTH,02:30PM,03:50PM,HB,453,"Thompson, James"
STAT 582,MATHEMATICAL PROBABILITY II,3.00,Continuation of Stat 581.,001,MWF,10:00AM,10:50AM,DH,1046,"Olofsson, Peter"
STAT 591,INDEPENDENT STUDY,4.00,Prereq- permission of instructor.,,,,,,,
STAT 600,GRADUATE SEMINAR IN STATISTICS,1.00,,001,M,11:00AM,11:50AM,DH,1046,"Baggerly, Keith"
STAT 610,ECONOMETRICS I,5.00,"See Econ 510 for schedule.
Also offered as Econ 510.",001,TTH,09:15AM,10:30AM,BB,271,"Brown, Bryan"
STAT 681,BRANCHING PROCESSING,3.00,,001,TTH,01:00PM,02:20PM,DH,1075,"Kimmel, Marek"
STAT 800,THESIS,0.00,,,,,,,,
ARTS 392,SPECIAL PROBLEMS-LIFE DRAWING,1.00,,,,,,,,
AWAY 100,AWAY FROM RICE,12.00,,,,,,,,
WGST 201,INTRO TO LESBIAN AND GAY STUDIES,3.00,,001,TTH,01:00PM,02:20PM,PL,AMP,"Huffer, Lynne"
WGST 336,HISTORY AS A CULTURAL MYTH,3.00,"* DISTRIBUTION COURSE: GROUP II
Ideas of history and attitudes toward the past as culturally conditioned
phenomena. Emphasizes history as statement of cultural values as well
as conceptualizations of cause, change, time, and reality.
Also offered as Anth 308/508.",001,W,02:00PM,05:00PM,SH,460,"Taylor, Julie"
WGST 367,AMERICAN ECOFEMINISM,3.00,Cross-listed with ENGL 367.,001,W,02:00PM,05:00PM,FL,517,"Comer, Krista"
WGST 405,VICTORIAN STUDIES:JANE AUSTEN AND CHARLO,3.00,Also offered as ENGL 441.,001,W,02:00PM,05:00PM,FL,524,"Michie, Helena"
WGST 420,WOMEN AND GENDER IN 19TH CENT EUROPE,3.00,"Introduction to current debates about women's history, the history of
feminism, and gender history in 19th century Europe. Includes public
and private rights, republicanism and feminism, gender and difference,
socialism, identity and cultural modernism, and gender and social
reform. With permission of instructor.
Also offered as Hist 349.",001,MWF,10:00AM,10:50AM,FL,524,"Caldwell, Peter"
WGST 426,WOMEN AND GENDER IN MEDIEVAL IBERIA,3.00,"* DISTRIBUTION COURSE: GROUP I
Comparative introduction and analysis of the different cultures of
Iberian Middle Ages and the role of gender in literary genres.
Exploration of the ways in which women have been represented in
11th-15th centuries. Some of the main topics will be (homo)eroticism,
motherhood, and prostitution. Taught in Spanish. Also offered as SPAN
426.",001,TTH,10:50AM,12:05PM,RH,319,"Merida-Jimenez, Rafael"
WGST 430,STUDIES IN LITERARY CRITICISM: QUEER THE,3.00,Also offered as Engl 498.,001,TTH,10:50AM,12:05PM,RH,317,"Lamos, Colleen"
WGST 439,WOMEN AND GENDER IN RENAISSANCE ITALY,3.00,"Exploration of whether or not there was a Renaissance for women and how
gender influenced the roles of women and men in Renaissance society.
Includes Renaissance and modern sources .",001,F,02:00PM,05:00PM,SH,460,"Brown, Judith"
WGST 453,TOPICS IN AFRICAN AMERICAN LIT BLACK WOM,3.00,"* DISTRIBUTION COURSE: GROUP I
Black women writers: 1850-present.
Also offered as Engl 470.",001,TTH,02:30PM,03:50PM,RH,320,"Fultz, Lucille"
ARTS 393,SPECIAL PROBLEMS IN PAINTING,1.00,,,,,,,,
WGST 481,"LITERARY THEORY: FOUCAULT, DELEAZE, LYOT",3.00,"An investigation of political and ethical concerns in literary
interpretation.
Prereq- permission of instructor.
Also offered as Engl 599.",001,T,02:30PM,05:30PM,RH,317,"Lamos, Colleen"
WGST 496,APPLIED WOMEN'SANDGENDER STUDIES,1.00,"Internships will be arranged individually, at the request of students
and the details must approved by the Director. Students will also be
required to submit a paper of between 8-15 pages (depending on the
amount of credit) that demonstrates their ability to apply critically
their knowledge of women's and gender studies. Such papers might
Prereq- permission of SWG Director required.",,,,,,,
WGST 497,DIRECTED READING IN THE STUDY OF WOMEN A,1.00,"Directed reading under the supervision of a SWG faculty member.
Permission of instructor required. May count only once toward major
requirements.",,,,,,,
WGST 498,INDEPENDENT STUDY,3.00,Open to SWG majors only.,,,,,,,
WGST 499,RESEARCH IN THE STUDY OF WOMEN AND GEND,3.00,"Research seminar for SWG seniors to fulfill capstone requirement. Open
to SWG majors only.",,,,,,,
THEA 302,ACTING II,3.00,"* DISTRIBUTION COURSE: GROUP I
Scene analysis, characterization, work on acting roles.
Prereq- permission of instructor.",001,TTH,02:30PM,03:50PM,,,"Havens, Neil"
THEA 329,"SPECIAL PROBLEMS: TECHNICAL, PRODUCTION",1.00,Independent study. Enrollment requires permission of instructor.,,,,,,,
THEA 431,"SPECIAL PROBLEMS: HISTORY, LITERATURE",1.00,Independent study. Enrollment requires permission of instructor.,,,,,,,
THEA 432,"SPECIAL PROBLEMS: DESIGN, DIRECTING",1.00,Independent study. Enrollment requires permission of instructor.,,,,,,,
THEA 435,SPECIAL PROBLEMS: ADVANCED TOPICS,1.00,Independent study. Enrollment requires permission of instructor.,,,,,,,
ANTH 300,LINGUISTIC ANALYSIS,3.00,"* RESTRICTED DISTRIBUTION COURSE: GROUP II
English and other languages as objects of scientific analysis.
Phonological structure, morphology and syntax, semantic structures, and
techniques of linguistic analysis.
Also offered as Ling 300.
A FOUNDATION COURSE.",001,MWF,11:00AM,11:50AM,SH,207B,"Fleck, David"
ARTS 394,SPECIAL PROBLEMS-PRINTMAKING,1.00,,001,MW,07:00PM,10:00PM,SH,201,"Broker, Karin"
TIBT 330,CLASSICAL AND COLLOQUIAL TIBETAN,4.00,"Readings in Tibetan Bon and Buddhist Religious texts.
Offered with additional work as TIBT 532.
Also offered as Reli 330 and Reli 532..
Section 1: Introduction to Tibetan with emphasis on the language of the
classical Buddhist texts. Prereq- none but curiosity.
Section 2: Intermediate level. Prereq- at least 1 semester of
introductory Tibetan.
Section3: Advanced level. Pq- at least 1 year of classical Tibetan.",,,,,,,
TIBT 532,CLASSICAL AND COLLOQUIAL TIBETAN,3.00,"Graduate version of RELI 330 and TIBT 330.
Section 001: Introduction to Tibetan with emphasis on the language of
the classical Buddhist texts. Prereq-- none but curiosity.
Section 002: Intermediate level. Prereq- at least 1 semester of
introductory Tibetan.
Section 003: Advanced level. Prereq- at least 1 year of classical
Tibetan.",,,,,,,
UNIV 115,SOUND,3.00,"Acoustics is on one level an exact science, to the extent that sound can
be readily measured, analyzed and objectively understood. At the same
time, acoustics is a highly subjective field of study, open to an
infinite variety of interpretations when we ourselves are the instrument
of measurement. This course will examine the unambiguous realm of
physical acoustics, but it will integrate that understanding with the
particular insights to be derived from studying acoustics as it relates
to music, architecture, biomedicine, psychoacoustics, the environment,
and other fields besides.",,,,,,,
UNIV 116,THE ORIGIN OF LIFE: A FIRST YEAR SEMINAR,3.00,"* DISTRIBUTION COURSE: GROUP III
The age-old mystery of the origin of life has, in recent decades,
matured into an area of active scientific inquiry and discourse. This is
principally due to an increased understanding of the chemisty underlying
the basis of life, and of new organizing principles in complex systems.
This course will pursue a critical examination of the central physical,
chemical and biological questions and their proposed solutions for how
life began.",001,TTH,10:50AM,12:05PM,SS,337,"Smalley, Richard"
UNIV 303,"THE IMPACT OF C02: SCIENCE, SOCIETY, AND",3.00,"This class integrates scientific, societal, and policy perspectives to
address implications of the Kyoto Accords on carbon dioxide reduction.
The focus of the course is a group project to develop a carbon dioxide
reduction plan for Rice University; class time will largely be devoted
to projects, discussions and progress reports.
Enrollment limited to 20.",,,,,,,
UNIV 309,CREATING AND MANAGIN CHANGE,3.00,"A team-taught course that addresses topics including the ethics of
leadership, historical and cultural perspectives on leadership,
paradigms of leadership, and communication skills with an emphasis on
group work. This course includes a 2-hour lab session. Hours TBA.",001,TTH,02:30PM,03:45PM,SH,307,"Lieberman, Susan"
UNIV 311,CREATIVITY SEMINAR,1.00,"Leadership Rice offers an opportunity to develop one's personal
understanding of creativity and find one's own creative language.
Limited enrollment to 15.",,,,,,,
UNIV 322,CROSS-CULTURAL AWARENESS: CULTURES OF TH,1.00,"A team-taught course that addresses important issues in understanding
the difference of other cultures and looks at the most fundamental
 of cultral identity. Examples taken from a variety of the non-U.S.
cultures. Emphasis on experimental learning.
Prereq- UNIV 311 or permission of instructor.",,,,,,,
WIES 235,COMEDY IN ITS CULTURAL CONTEXT,3.00,"This course investigates the cultural production of comic acts.
Surveying examples from Aristophanes to South Park, we will consider the
different social/cultural potentials giving life to comic forms, but we
will also dismantle the concept of the ""national character"" as it has
been used to talk about wit and humor in the past.",001,T,02:30PM,05:30PM,SS,106,"Pound, Christopher"
WILL 206,KISWAHILI FOR BEGINNERS I,3.00,,001,MWF,11:00AM,11:50AM,HB,22,"Owino, Meshack"
ARTS 395,SPECIAL PROBLEMS-PHOTOGRAPHY,1.00,,,,,,,,
ARTS 396,SPECIAL PROBLEMS-FILM AND VIDEO,1.00,See Arts 391.,,,,,,,
ARTS 397,SPECIAL PROBLEMS IN SCULPTURE,1.00,,,,,,,,
ARTS 428,ADV. FILM AND VIDEOTAPE MAKING,3.00,See Arts 427.,001,,,,,,"Huberman, Brian"
ARTS 432,FILM GENRE: THE WESTERN,3.00,"* DISTRIBUTION COURSE: GROUP I
The course will mark the essential milestones in one of the prevalent
cinematic genres:war. Background to the genre will be explored,
including the relationship of war genre to westerns genre. The periods
of World War II and Vietnam and the periods following these wars and
their consequential mythologies will be particulary explored. Special
emphasis will be placed on the nationalistic elements of war in film as
well as the evolving image of the Holocaust. The contra-genre of
anti-War film will also be consdieder.",001,T,01:00PM,04:00PM,MECN,100,"Huberman, Brian"
ARTS 443,SPECIAL PROBLEMS IN DESIGN,1.00,,,,,,,,
ARTS 445,SPECIAL PROBLEMS IN DRAWING,1.00,"Advanced problems in creative art with individual instruction and
criticism. May be used in awarding transfer credit.
Prereq- permission of instructor.",,,,,,,
ARTS 446,SPECIAL PROBLEMS IN DRAWING,1.00,,,,,,,,
ARTS 447,SPECIAL PROBLEMS-LIFE DRAWING,1.00,,,,,,,,
ANTH 308,HISTORY AS A CULTURAL MYTH,3.00,"* DISTRIBUTION COURSE: GROUP II
Ideas of history and attitudes toward the past as culturally conditioned
phenomena. Emphasizes history as statement of cultural values as well
as conceptualizations of cause, change, time, and reality.
Also offered as Wgst 336.",001,W,02:00PM,05:00PM,SH,460,"Taylor, Julie"
ARTS 448,SPECIAL PROBLEMS-LIFE DRAWING,1.00,,,,,,,,
ARTS 449,PRINTMAKING II,1.00,,,,,,,,
ARTS 450,SPECIAL PROBLEMS-PRINTMAKING,1.00,,,,,,,,
ARTS 451,SPECIAL PROBLEMS IN PAINTING,1.00,,,,,,,,
ARTS 452,SPECIAL PROBLEMS IN PAINTING,1.00,,,,,,,,
ARTS 453,SPECIAL PROBLEMS-PHOTOGRAPHY,1.00,,,,,,,,
ARTS 454,SPECIAL PROBLEMS-PHOTOGRAPHY,1.00,,,,,,,,
ARTS 455,SPECIAL PROBLEMS-FILM AND VIDEO,1.00,,001,,,,,,"Huberman, Brian"
ARTS 456,SPECIAL PROBLEMS-FILM AND VIDEO,1.00,See Arts 445.,001,,,,,,"Huberman, Brian"
ARTS 458,SPECIAL PROBLEMS IN SCULPTURE,1.00,,,,,,,,
ANTH 315,ANTHROPOLOGY OF MEMORY,3.00,"* DISTRIBUTION COURSE: GROUP II
In this course we focus on aspects of collective memory (or amnesia) and
oral history that directly affect the maintenance of social integrity
or group/national self-constructions. We sample psychological and
philosophical theories of memory, and read ethnographic studies of the
operations of memory in particular contexts.",001,TTH,01:00PM,02:20PM,SH,305,"Fuller, Mia"
ARTS 465,SCULPTURE I,3.00,"Advanced problems in various sculptural media.
Prereq- Arts 365, 366.",001,MW,09:00AM,12:00PM,SH,260,"Smith, George"
ARTS 466,SCULPTURE II,3.00,See Arts 465.,001,MW,01:00PM,04:00PM,SH,260,"Smith, George"
ARTS 476,ADVANCED PAINTING,3.00,See Arts 475.,001,TTH,01:00PM,04:00PM,SH,401,"Keeton, Darra"
ARTS 502,STUDIO I: PAINTING,3.00,See Arts 501.,,,,,,,
ARTS 504,STUDIO I: SCULPTURE,3.00,See Arts 501.,,,,,,,
ARTS 506,STUDIO I: DRAWING,3.00,See Arts 501.,,,,,,,
ARTS 508,STUDIO I: LIFE DRAWING,3.00,See Arts 501.,,,,,,,
ARTS 510,STUDIO I: DESIGN,3.00,See Arts 501.,,,,,,,
ARTS 512,STUDIO I: PRINTMAKING,3.00,See Arts 501.,,,,,,,
ARTS 514,STUDIO I: PHOTOGRAPHY,3.00,See Arts 501.,,,,,,,
ANTH 316,CULTURAL ANALYSIS,3.00,"This course is specifically intended for lower level undergraduates as a
means of gaining familiarity with the analytical tradition of cultural
anthropology from the beginning of the Twentieth Century. The course is
intended to provide students with background for upper level courses in
the department.",,,,,,,
ARTS 516,STUDIO I: FILMMAKING,3.00,See Arts 501.,,,,,,,
ARTS 521,STUDIO II: PAINTING,6.00,See Arts 520.,,,,,,,
ARTS 523,STUDIO II: SCULPTURE,6.00,See Arts 520.,,,,,,,
ARTS 525,STUDIO II: DRAWING,6.00,See Arts 520.,,,,,,,
ARTS 527,STUDIO II: LIFE DRAWING,6.00,See Arts 520.,,,,,,,
ARTS 529,STUDIO II: DESIGN,6.00,See Arts 520.,,,,,,,
ARTS 531,STUDIO II: PRINTMAKING,6.00,See Arts 520.,,,,,,,
ARTS 533,STUDIO II: PHOTOGRAPHY,6.00,See Arts 520.,,,,,,,
ARTS 535,STUDIO II: FILMMAKING,1.00,See Arts 520.,,,,,,,
ARTS 547,STUDIO III: PHOTOGRAPHY,9.00,See Arts 540.,,,,,,,
ANTH 329,"BODIES, SENSUALITIES AND ART",3.00,"Cross-cultural approaches to art and the senses. Students my engage any
medium. Emphasis to be placed on issues generated from performance in
the arts rather than from academia. Contrasts art and academic
knowledge to explore alternative epistemologies and aesthetics.",001,TTH,04:00PM,05:20PM,SH,307,"Taylor, Julie"
ARTS 549,STUDIO III: FILMMAKING,9.00,See Arts 540.,,,,,,,
ASIA 332,CHINESE FILMS AND MODERN CHINESE LITERAT,3.00,See description for Chin 332.,001,W,03:00PM,06:00PM,PL,117,"Qian, Nanxiu"
ASIA 402,INDEPENDENT STUDY,1.00,Enrollment limited to 20.,,,,,,,
ASIA 422,CHINESE SPEAKING AND READING FOR HERITAG,3.00,Continuation of ASIA 421.,001,MW,05:00PM,06:30PM,,,"McArthur, Marshall"
BAKE 169,GETTING TO KNOW YOUR CAR,1.00,"This course aimed at giving students a basic understanding of the
theory, history, mechanics, and maintenance of automobiles.
Limited enrollment to 20.
1. This course aimed at giving students a basic understanding of the
 2. theory, history, mechanics, and maintenance of automobiles.
---&gt; Limited enrollment to 20.",001,W,04:00PM,05:20PM,ME,123,"McStravick, David"
BAKE 213,TAIWANESE LANGUAGE AND CULTURE,3.00,"This course is a general introduction to language and cultural life in
Taiwan. The goal is to broaden the understanding of economic, political,
and cultural aspects of Taiwan. Access to news on the Internet in class
promotes discussion on current Taiwan political and social issues.
Students are encouraged to ask questions and share their knowledge.
Learing of Taiwanese will be facilitated by language sofware Taiwanese
on Campus accessible on the Web.",,,,,,,
BIOE 252,BIOENGINEERING FUNDAMENTALS,3.00,"Introduction to material, energy and momentum balances in biological
systems. Steady-state and transient conservation equations for mass,
energy and momentum will be derived using basic mathmatical principles,
physical laws, stoichimetry and thermodynamic properties. Required
for students intending to major in bioengineering.
Prereq- 101,102, MATH 211, BIOS 201, CHEM 211, CAAM 211, or 210.",,,,,,,
BIOE 400,UNDERGRADUATE RESEARCH,1.00,,,,,,,,
BIOE 404,GRAVITY AND LIFE:IMPORTANT PROBLEMS IN B,2.00,"Investigation of important problems in biology and bioengineering
related to the space program including analysis of the physiological
and molecular mechanisms used by living organisms to sense and respond
to mechanical stimuli. A multi-instructor, lecture-and-discussion
course including professors from Rice University and Johnson Space
Center.
Crosslisted with BIOS 404",001,,,,,,"McIntire, Larry"
BIOE 460,INTRO TO BIOTECHNOLOGICAL PROCESSES,3.00,"Study of enzyme kinetics, immobilized enzymes, cell cultivation, the
stoichiometry of microbial growth and product formation, bioreactor
design, agitation and aeration and downstream processing.
Also offered as Ceng 460.",001,TTH,10:50AM,12:05PM,PL,117,"San, Ka-Yiu"
ANTH 353,CULTURES OF INDIA,3.00,"* DISTRIBUTION COURSE: GROUP II
Summary of the prehistory, ethnography, and ethnology of the Indian
subcontinent. Special emphasis on Hinduism, Buddhism, and Indian
philosophy.",001,TTH,09:25AM,10:40AM,SH,309,"Tyler, Stephen"
BIOE 482,PHYSIOLOGICAL CONTROL SYSTEMS,3.00,"Nervous system control of biological systems can be represented
utilizing techniques common to the field of linear, nonlinear or
adaptive control theory. This course begins with a review of the basic
aspects of control theory, followed by detailed discussion of the
structure of several biological systems including the visual,
cardiovascular and pulmonary systems. Specific examples of neural
control are developed for each system utilizing modeling and simulation
techniques. Parameter sensitivity analysis and parameter estimation
techniques are likewise brought to bear on some of these models to
achive good least-squares fits to experimental data.
Also offered as Elec 482.",001,MW,01:00PM,02:20PM,AL,B209,
BIOE 483,INTRODUCTION OF BIOMEDICAL INSTRUMENTATI,3.00,"Review of basic sensors and measurement principles. Includes design
problems using operational amplifier circuits (e.g. instrumentation and
isolation amplifiers, comparators, timer circuits). Introduction to
development of virtal instruments (VIs) using LabView TM. Discussion
of micro-and macro-biopotential electrodes, cell cytometry, the
measurement of blood pressure, blood flow, and heart sounds,
temperature, and the principles of electrical safety (e.g., micro-and
macro-shock hazards in the clinical environment). Includes discussion
of pulmonary instrumentation and medical applications of ultrasound.
Two lab exercises and a term project required.
Prereq- Elec 481 or permission of instructors.
Also offered as Elec 483/Mech 483.",,,,,,,
BIOE 500,GRADUATE RESEARCH,1.00,,,,,,,,
BIOE 544,LASERS IN MEDICINE AND BIOENG,3.00,"This course will provide an overview of various types of interactions
between lasers and biological tissues. Optically-based diagnostic
procedures including low coherence tomography and photothermal
techniques will be introduced. Mathematical models of light
propagation, methods of optical properties measurements, optical
trapping, and selected therapeutic applications of lasers will be
addressed.
Prereq- Math 211, Phys 101.
Enrollment limited to 30.",001,TTH,04:00PM,05:20PM,GRB,211W,"Anvari, Bahman"
BIOE 572,FUNDAMENTALS OF SYSTEMS PHYSIOLOGY,3.00,"This course will teach the fundamentals of physiology at the organism,
tissue, and cellular levels. Emphasis will be on engineering aspects of
physiology.",,,,,,,
BIOE 620,TISSUE ENGINEERING,3.00,"This course will focus on cell-cell interactions and the role of the
extracellular matrix in the structure and function of normal and
pathological tissues for the development of (1) strategies to regenerate
metabolic organs and repair structural tissues, and (2) cell-based
therapies to deliver proteins and other therapeutic drugs. Issues
related to cell and tissued transplantation such as substrate
properties, angiogenesis, growth stimulation, cell differentiation, and
immunoprotection will be emphasized.
Also offered as Ceng 620.",001,TTH,08:00AM,09:15AM,GRB,211W,"Mikos, Antonios"
BIOE 699,GRADUATE SEMINAR,1.00,,,,,,,,
BIOS 106,THE RELEVANCE OF PHSY SCIEN AND MATH TO TH,1.00,"Continuation BIOS 105 with material appropriate to second semester
freshman.",001,TTH,01:00PM,02:00PM,BL,123,"Oliver, Robert"
BIOS 122,FUNDAMNT'L CONCEPTS IN BIOLOGY,3.00,"* RESTRICTED DISTRIBUTION COURSE: GROUP III
An introduction for non-science, non-engineering majors to specific
concepts in modern biology from the molecular to organismal level.
Topics may include recombinant DNA, genetic engineering, AIDS, and
others topic of medical relevance.",001,TTH,10:50AM,12:05PM,GRB,211W,"Stern, Michael"
BIOS 202,INTRODUCTORY BIOLOGY,3.00,"* RESTRICTED DISTRIBUTION COURSE: GROUP III
The second in an integrated sequence of four courses (Bios 201, 202,
301, 302). Transmission genetics, molecular genetics, development,
behavior, evolution, ecology, and diversity.
Prereq- Bios 201 or consent of instructor.",,,,,,,
ACCO 409,CORPORATE FIN REPORTING,3.00,"Using a case and readings format, the course deals with controversial
issues in financial accounting and the analysis and interpretation of
companies' financial statements.
Prereq - Acco 305.",001,MW,07:00PM,08:15PM,HE,115,"Ramnath, Sundaresh"
ANTH 360,MODERNITY AND SOCIAL SPACE,3.00,"* DISTRIBUTION COURSE: GROUP II
Modernity can be usefully described as the transmutation of time and
space. In this course we will focus on specific changes in the pro-
duction of social space. How, for example, is global space produced--
legally, in international law, economically by multinational
corporations, and culturally through satelite communications systems?
While changes in the public spaces of urban/suburban America tell us
something about the values of those who produce such space, they also
tell us about the cultural and political consciousness/unconsciousness
of those who use it. Theories from a variety of disciplines will be
mobilized to help us understand these changes in social space.",001,M,02:00PM,05:00PM,SH,460,"Fuller, Mia"
BIOS 205,ECOLOGY IN PHILOSOPHICAL FOCUS,3.00,"* DISTRIBUTION COURSE: GROUP III
This course is designed to prepare its participants for more
knowledgeable interaction with the natural world, and to encourage them
to begin developing a ""philosophy of nature."" In it, we will consider
readings in ecology, environmental ethics, and philosophy of science.
We will also take field trips and explore the flora and fauna around the
Rice campus.
Enrollment is limited to 30.",001,TTH,09:25AM,10:40AM,,,"Mikkelson, Gregory"
BIOS 207,"EVOLUTION, GENETICS,AND SOCIETY",3.00,"* DISTRIBUTION COURSE: GROUP III
Introduction to concepts of Evolution, Genetics, and Molecular Genetics
with an emphasis on history, cultural context, and political issues.
Limited enrollment to 30.",001,TTH,02:30PM,03:50PM,BL,123,"Oliver, Robert"
BIOS 211,INTRODUCTORY LAB MODULE IN BIOLOGICAL SC,2.00,"Introduction to the scientific method, principles of experimental
design, selected research strategies, record keeping, and technical
communication as related to biological science. Taught in the first
half of the semester. Everyone must attend the Monday lecture and one
afternoon lab session. Registration requires completion of a form and
selection of a lab day either in person in room 141, Anderson Biological
Laboratory Building or at the web site
http://www.ruf.rice.edu/~bioslabs/bios211/signups/211signup.html.
Enrollment is limited. Prereq- current or prior enrollment in Bios 201
or equivalent.",,,,,,,
BIOS 213,INTRO LAB MODULE IN ECOLOGY AND EVOLUTIONA,1.00,"Experimental, laboratory, and field studies of natural history,
evolution, and animal behavior. Computer simulations of population
genetics. Course will begin after mid-semester break in the Fall
semester and after mid-term recess in the Spring semester. May be taken
following BIos 211 in the Fall or in the Spring semester.
Enrollment is limited to 60. Everyone must attend Monday lecture and
one afternoon lab section.
Prereq- Bios 211.",,,,,,,
BIOS 302,BIOCHEMISTRY,3.00,"* DISTRIBUTION COURSE: GROUP III
The final in an integrated sequence of four courses (Bios 201, 202, 301,
302). Introduction to metabolism, membranes, electron transport,
oxidative phosphorylation, and regulation.
Prereq- Bios 301 or consent of instructor.",,,,,,,
BIOS 309,SEMINAR IN RESEARCH METHODOLOGY,2.00,"A course based on laboratory research done outside the university which
will use seminars, discussion and papers to develop communication skills
in research.
Permission of instructor to enroll.",,,,,,,
